threshold,precision,recall,f1
0.1,0.8095238095238095,0.9444444444444444,0.8717948717948718
0.15000000000000002,0.8947368421052632,0.9444444444444444,0.918918918918919
0.20000000000000004,0.8947368421052632,0.9444444444444444,0.918918918918919
0.25000000000000006,0.8947368421052632,0.9444444444444444,0.918918918918919
0.30000000000000004,0.8947368421052632,0.9444444444444444,0.918918918918919
0.3500000000000001,0.8947368421052632,0.9444444444444444,0.918918918918919
0.40000000000000013,0.9444444444444444,0.9444444444444444,0.9444444444444444
0.4500000000000001,0.9444444444444444,0.9444444444444444,0.9444444444444444
0.5000000000000001,0.9444444444444444,0.9444444444444444,0.9444444444444444
0.5500000000000002,0.9411764705882353,0.8888888888888888,0.9142857142857143
0.6000000000000002,0.9411764705882353,0.8888888888888888,0.9142857142857143
0.6500000000000001,0.9411764705882353,0.8888888888888888,0.9142857142857143
0.7000000000000002,0.9411764705882353,0.8888888888888888,0.9142857142857143
0.7500000000000002,0.9411764705882353,0.8888888888888888,0.9142857142857143
0.8000000000000003,1.0,0.8888888888888888,0.9411764705882353
0.8500000000000003,1.0,0.8888888888888888,0.9411764705882353
0.9000000000000002,1.0,0.8888888888888888,0.9411764705882353
