fold,Logistic Regression,Random Forest,XGBoost,LightGBM,CatBoost,TabPFN thinking mode,TabPFN
1,0.8971842307556473,0.11,0.1610545814037323,0.07002484427563774,0.123424652729082,0.25821638107299805,0.2947332262992859
2,0.9367363034062082,0.1,0.23382191359996796,0.2682739797379905,0.16344900649215738,0.4930802881717682,0.44809654355049133
3,0.9419000943328565,0.12,0.3180365264415741,0.06624595194798677,0.1552785000079995,0.467443585395813,0.30389919877052307
4,0.9698010022999586,0.13,0.22451485693454742,0.0924323602936859,0.15890204960651513,0.3198857605457306,0.36827442049980164
5,0.9901665614555468,0.13,0.1854608654975891,0.11251561364251415,0.23145137695711704,0.29724782705307007,0.550905168056488
