rank,feature,mutual_info
1,CaI,0.0205361899217161
2,LV,0.0128177086517509
3,eGFR,0.009424154238492
4,LDL,0.0093673265920197
5,HbA1c,0.007327655246093
6,Lesion location-Ostial,0.0052930961846577
7,P-RCA,0.004830218218337
8,HGB,0.0043645032628729
9,1.1:1Post dilation,0.0040566762551876
10,HDL,0.0038233184129834
11,Fiberinogen,0.0037119467854342
12,Current drinking,0.0032021243406621
13,Stent type-SES,0.0031760145468466
14,stent overlap,0.0030808523296055
15,P-LCX,0.0030142200122851
