iter	PRAUC	Logloss
0	0.9792111574	0.6241763391
1	0.9904104949	0.5558042337
2	0.9951446463	0.509747729
3	0.9959586186	0.4694284947
4	0.9975589715	0.4315146007
5	0.9979967465	0.4049422644
6	0.998801074	0.3757714793
7	0.9988040452	0.3492017645
8	0.9988476973	0.3228771016
9	0.9990137757	0.3082495439
10	0.99892412	0.2860463196
11	0.9991535141	0.2688929112
12	0.9994035796	0.2516315601
13	0.9993136222	0.2394855067
14	0.9993465906	0.2270944105
15	0.9994654039	0.2166798187
16	0.9994035616	0.2045231917
17	0.9995639227	0.1935271867
18	0.9995795986	0.1863684347
19	0.9996031261	0.1819459796
20	0.9997073587	0.1722677199
21	0.9996790794	0.1639676866
22	0.9996907246	0.1561999735
23	0.9997159965	0.1510661069
24	0.9997753474	0.1423750012
25	0.9997901072	0.1366326582
26	0.9997975648	0.1307922331
27	0.9998228614	0.1245316446
28	0.9998488696	0.1198799479
29	0.9998477873	0.1173230117
30	0.9998513909	0.1143935116
31	0.9998734027	0.1097554486
32	0.9998795548	0.1072595959
33	0.9998902813	0.1047521228
34	0.999896292	0.102841185
35	0.9998986158	0.09932052626
36	0.9999035225	0.09547768458
37	0.9999120178	0.09102162856
38	0.9999145058	0.08961856214
39	0.9999167806	0.0876484934
40	0.9999255758	0.08450512585
41	0.999924206	0.08305013993
42	0.999934709	0.08033395279
43	0.9999361256	0.07786756793
44	0.9999401806	0.07649119931
45	0.9999456067	0.07510367419
46	0.9999489669	0.07356222563
47	0.9999457704	0.07074301339
48	0.9999474455	0.06975119715
49	0.9999488787	0.06827359616
50	0.9999497518	0.06714034836
51	0.9999521399	0.06603689407
52	0.9999589835	0.0634915421
53	0.99996075	0.06183502611
54	0.9999641181	0.06071302934
55	0.9999667652	0.05796934066
56	0.9999695643	0.05557316681
57	0.9999721219	0.05373755152
58	0.9999738437	0.05260521097
59	0.9999740036	0.05184323431
60	0.9999752288	0.0512861721
61	0.9999767327	0.05046033653
62	0.9999773135	0.04969489075
63	0.9999763325	0.04813455137
64	0.9999763234	0.04742837646
65	0.9999767798	0.04633526038
66	0.9999776354	0.04587844643
67	0.9999780965	0.04514332975
68	0.9999790482	0.04439848533
69	0.9999794702	0.04361392565
70	0.9999796584	0.04309796324
71	0.9999814715	0.04243544504
72	0.9999822989	0.04177475396
73	0.9999837373	0.04107521967
74	0.9999840423	0.04052168481
75	0.9999847983	0.03989872214
76	0.9999844185	0.03936328991
77	0.9999848874	0.03877075366
78	0.9999856431	0.03828861848
79	0.9999870799	0.03758029991
80	0.9999868527	0.03717466243
81	0.9999872309	0.03625375494
82	0.9999885998	0.03586454103
83	0.9999896003	0.03536262938
84	0.9999899126	0.03490321259
85	0.9999907521	0.0341226087
86	0.9999916782	0.03353399198
87	0.9999914426	0.03308330309
88	0.9999924461	0.0326500337
89	0.9999929878	0.03212781484
90	0.9999930665	0.03146917163
91	0.9999934548	0.03098646955
92	0.9999941494	0.03068181639
93	0.9999946938	0.030338083
94	0.9999946938	0.02931994634
95	0.9999953165	0.02898690858
96	0.9999952395	0.02859845567
97	0.9999954706	0.02830181767
98	0.9999957021	0.02785893069
99	0.9999957801	0.02762713881
100	0.9999958573	0.02718767424
101	0.9999960907	0.02689181898
102	0.9999962497	0.0266306985
103	0.9999964816	0.02628388794
104	0.9999966363	0.02545784446
105	0.9999967926	0.02522412752
106	0.9999967926	0.02497671925
107	0.9999969484	0.02475096732
108	0.9999971028	0.02448382167
109	0.9999971816	0.0243178438
110	0.9999972592	0.02406480708
111	0.9999971816	0.02366514978
112	0.9999977279	0.02344546513
113	0.9999981189	0.02311088607
114	0.9999981189	0.0227510825
115	0.9999982753	0.02247683774
116	0.9999981204	0.02223324529
117	0.9999982761	0.02168669415
118	0.999998432	0.0214289519
119	0.9999985106	0.02130790268
120	0.9999985106	0.021132621
121	0.9999985881	0.02071891432
122	0.9999985881	0.02046756895
123	0.9999989015	0.02027548681
124	0.9999990579	0.0200632179
125	0.9999990579	0.01987778927
126	0.9999991366	0.0197100612
127	0.9999991366	0.01953620125
128	0.9999992148	0.01935132933
129	0.9999993715	0.01919028084
130	0.9999993715	0.01895536342
131	0.9999993715	0.0186654187
132	0.9999994499	0.01817922633
133	0.9999995284	0.01796022794
134	0.9999995284	0.01778799143
135	0.9999995284	0.01758400316
136	0.9999997641	0.01734328751
137	0.9999996856	0.01723431629
138	0.9999997641	0.01703201694
139	0.9999997641	0.0168673903
140	0.9999997641	0.01663130312
141	0.9999997641	0.01635576825
142	0.9999997641	0.01623289979
143	0.9999997641	0.01611056403
144	0.9999997641	0.01600675915
145	0.9999997641	0.01573889842
146	0.9999998427	0.01560727932
147	0.9999999213	0.01546026585
148	0.9999999213	0.01530696564
149	0.9999999213	0.01518360478
150	0.9999999213	0.01500056437
151	1	0.01487029533
152	0.9999999213	0.01452469841
153	0.9999999213	0.01439784339
154	0.9999999213	0.01427040455
155	0.9999999213	0.01409558601
156	0.9999999213	0.01388975312
157	0.9999999213	0.01370943697
158	1	0.01356289764
159	1	0.01335437484
160	1	0.01323505572
161	1	0.01314586835
162	1	0.01296533084
163	1	0.01277307595
164	1	0.01260380528
165	1	0.01243569068
166	1	0.01233833697
167	1	0.01224773447
168	1	0.0120964614
169	1	0.01203057406
170	1	0.01196979915
171	1	0.01190801171
172	1	0.01179710059
173	1	0.01168972102
174	1	0.01161601649
175	1	0.01138949492
176	1	0.01129172978
177	1	0.0112106365
178	1	0.01102923838
179	1	0.0108746102
180	1	0.01083936584
181	1	0.01072475702
182	1	0.01065276527
183	1	0.01053345188
184	1	0.01047122213
185	1	0.01022546308
186	1	0.01010601015
187	1	0.01002066374
188	1	0.009935056133
189	1	0.009838238897
190	1	0.009746918279
191	1	0.009666919029
192	1	0.009599586836
193	1	0.009523671749
194	1	0.009422098793
195	1	0.009365256284
196	1	0.009272264223
197	1	0.009219608311
198	1	0.009155076668
199	1	0.009077002125
