model,best_params
Logistic Regression,"C=0.1, max_iter=2000, penalty=l2, solver=lbfgs"
Decision Tree,"criterion=entropy, max_depth=10, max_features=None, min_samples_leaf=2, min_samples_split=5"
Random Forest,"max_depth=20, max_features=sqrt, min_samples_leaf=1, n_estimators=800"
Gaussian NB,var_smoothing=1e-06
CatBoost,"depth=4, iterations=200, l2_leaf_reg=1, learning_rate=0.03"
XGBoost,"learning_rate=0.1, max_depth=5, min_child_weight=1, n_estimators=200, subsample=0.8"
LightGBM,"learning_rate=0.03, max_depth=5, min_child_samples=10, n_estimators=400, num_leaves=15"
