threshold,precision,recall,f1
0.1,0.6585365853658537,0.9642857142857143,0.782608695652174
0.15000000000000002,0.7647058823529411,0.9285714285714286,0.8387096774193549
0.20000000000000004,0.8387096774193549,0.9285714285714286,0.8813559322033898
0.25000000000000006,0.9629629629629629,0.9285714285714286,0.9454545454545454
0.30000000000000004,1.0,0.8928571428571429,0.9433962264150944
0.3500000000000001,1.0,0.8571428571428571,0.9230769230769231
0.40000000000000013,1.0,0.8571428571428571,0.9230769230769231
0.45000000000000007,1.0,0.8571428571428571,0.9230769230769231
0.5000000000000001,1.0,0.8571428571428571,0.9230769230769231
0.5500000000000002,1.0,0.8214285714285714,0.9019607843137255
0.6000000000000002,1.0,0.8214285714285714,0.9019607843137255
0.6500000000000001,1.0,0.8214285714285714,0.9019607843137255
0.7000000000000002,1.0,0.8214285714285714,0.9019607843137255
0.7500000000000002,1.0,0.8214285714285714,0.9019607843137255
0.8000000000000002,1.0,0.8214285714285714,0.9019607843137255
0.8500000000000002,1.0,0.8214285714285714,0.9019607843137255
0.9000000000000002,1.0,0.8214285714285714,0.9019607843137255
