iter	Passed	Remaining
403	9072	13384
404	9094	13361
405	9117	13339
406	9139	13315
407	9161	13293
408	9183	13270
409	9205	13247
410	9228	13225
411	9251	13203
412	9274	13182
413	9298	13161
414	9320	13138
415	9343	13116
416	9364	13093
417	9387	13070
418	9409	13047
419	9431	13023
420	9453	13001
421	9475	12978
422	9497	12955
423	9519	12932
424	9541	12909
425	9564	12886
426	9586	12863
427	9608	12840
428	9630	12817
429	9652	12794
430	9674	12771
431	9696	12748
432	9718	12725
433	9739	12702
434	9761	12679
435	9784	12656
436	9806	12634
437	9829	12612
438	9853	12591
439	9876	12570
440	9900	12550
441	9924	12529
442	9948	12508
443	9970	12485
444	9992	12462
445	10015	12440
446	10037	12418
447	10060	12396
448	10084	12374
449	10107	12353
450	10132	12333
451	10155	12312
452	10179	12291
453	10203	12270
454	10226	12249
455	10250	12228
456	10273	12207
457	10298	12186
458	10321	12165
459	10345	12144
460	10369	12124
461	10393	12102
462	10416	12081
463	10440	12060
464	10463	12038
465	10487	12017
466	10510	11996
467	10533	11974
468	10557	11953
469	10581	11932
470	10605	11911
471	10628	11889
472	10651	11867
473	10675	11846
474	10698	11825
475	10722	11804
476	10746	11782
477	10769	11761
478	10793	11739
479	10816	11718
480	10840	11697
481	10864	11675
482	10888	11654
483	10912	11633
484	10935	11612
485	10959	11591
486	10982	11568
487	11004	11545
488	11026	11522
489	11049	11500
490	11072	11478
491	11094	11455
492	11117	11432
493	11139	11410
494	11161	11387
495	11183	11364
496	11206	11341
497	11228	11318
498	11250	11295
499	11272	11272
500	11295	11250
501	11318	11228
502	11340	11205
503	11362	11182
504	11384	11159
505	11407	11136
506	11429	11114
507	11451	11091
508	11474	11068
509	11496	11045
510	11518	11022
511	11540	10999
512	11563	10977
513	11585	10954
514	11607	10931
515	11630	10909
516	11652	10886
517	11675	10863
518	11696	10840
519	11718	10817
520	11741	10794
521	11763	10772
522	11785	10748
523	11807	10725
524	11830	10704
525	11855	10683
526	11878	10661
527	11901	10639
528	11925	10617
529	11949	10596
