iter	PRAUC	Logloss
0	0.9396458155	0.6481354457
5	0.9649035743	0.4970117489
10	0.9704276891	0.404662882
15	0.9825378726	0.3402722488
20	0.9849991022	0.2997789374
25	0.9857181619	0.2686907311
30	0.9877329263	0.2479326383
35	0.9892462411	0.2319490371
40	0.9900952479	0.2155270463
45	0.9914653288	0.2026261621
50	0.9920325269	0.1930973841
55	0.9932273283	0.1823026096
60	0.9937842261	0.1758249751
65	0.9941341028	0.1699772084
70	0.9946763067	0.1646790276
75	0.9950260615	0.160570231
80	0.9953212512	0.1569625817
85	0.9959152897	0.152487664
90	0.9961010227	0.1491725491
95	0.9962496683	0.1473469614
100	0.9965074469	0.1441505617
105	0.9965533779	0.1422851627
110	0.9967300951	0.1400142656
115	0.9967527018	0.1384982423
120	0.9971824439	0.1361612625
125	0.9973242157	0.1332169716
130	0.9975766773	0.1299752486
135	0.9976708132	0.128449954
140	0.9977425104	0.1271336766
145	0.9978461985	0.1254608341
150	0.9977787586	0.1246758472
155	0.9978152819	0.1234523882
160	0.9979083869	0.1220315722
165	0.9980810627	0.1180575098
170	0.99841555	0.1137766989
175	0.9986746625	0.110422836
180	0.9988001702	0.1078147927
185	0.998901022	0.1052157586
190	0.9989416001	0.102499919
195	0.9990023378	0.1003258019
200	0.9990947211	0.09776584531
205	0.9992462682	0.09505649114
210	0.9993125598	0.09250981251
215	0.9993950118	0.08932123878
220	0.9994454496	0.08535624549
225	0.99945546	0.08437996762
230	0.9994978389	0.08203520675
235	0.9995662057	0.07984193288
240	0.9995690202	0.07804087914
245	0.9996036806	0.07566476942
250	0.9997222834	0.07300245351
255	0.9997416291	0.07080199022
260	0.9997671316	0.06914969001
265	0.9997876737	0.06686809116
270	0.9998314016	0.06455404258
275	0.999841329	0.0623551707
280	0.9998468006	0.0597265065
285	0.9999007982	0.05744372065
290	0.9999075927	0.05605390154
295	0.9999188833	0.05450075537
300	0.9999295508	0.05298206971
305	0.9999367337	0.05079656191
310	0.9999512734	0.04868961347
315	0.999947584	0.04679425854
320	0.9999651387	0.04504228755
325	0.9999718857	0.04366395654
330	0.9999755751	0.04219942741
335	0.9999897043	0.0408612448
340	0.9999861741	0.03972502488
345	0.9999931844	0.038703244
350	1	0.0370693105
355	1	0.03546617167
360	1	0.03448402245
365	1	0.0335078719
370	1	0.03245821331
375	1	0.03131919439
380	1	0.03037939533
385	1	0.02939524094
390	1	0.02869313074
395	1	0.02768042088
400	1	0.0265628766
405	1	0.02584030839
410	1	0.02511923236
415	1	0.02466171398
420	1	0.024054388
425	1	0.02349899806
430	1	0.02296736316
435	1	0.02238432768
440	1	0.0217079833
445	1	0.02098091795
450	1	0.02035201811
455	1	0.01972043721
460	1	0.01932647028
465	1	0.01874037554
470	1	0.01829468413
475	1	0.01796048858
480	1	0.01731472731
485	1	0.01683485433
490	1	0.01644639554
495	1	0.0160982705
500	1	0.01575349678
505	1	0.01545119866
510	1	0.01506471883
515	1	0.01473832493
520	1	0.01431675363
525	1	0.01391785708
530	1	0.01346124767
535	1	0.01315548309
540	1	0.01292551443
545	1	0.01261992303
550	1	0.01221355529
555	1	0.01198663932
560	1	0.01179913503
565	1	0.0113926381
570	1	0.01111527265
575	1	0.01083743071
580	1	0.01058439226
585	1	0.01032552271
590	1	0.01005173793
595	1	0.009868326357
600	1	0.009684844578
605	1	0.009432563451
610	1	0.009179522193
615	1	0.008919211947
620	1	0.008548358803
625	1	0.008363622621
630	1	0.008195120666
635	1	0.007978308264
640	1	0.007852251483
645	1	0.007687774853
650	1	0.007481630029
655	1	0.007343020789
660	1	0.007202002439
665	1	0.007040134312
670	1	0.006923720992
675	1	0.006811345634
680	1	0.006722733265
685	1	0.006472747509
690	1	0.006316710486
695	1	0.006184673758
700	1	0.006088949201
705	1	0.005945846108
710	1	0.005823688275
715	1	0.005729727373
720	1	0.005596661379
725	1	0.005482492411
730	1	0.005352529193
735	1	0.005275301003
740	1	0.005175637245
745	1	0.005034338995
750	1	0.004938111273
755	1	0.004844353508
760	1	0.004732428893
765	1	0.00466234425
770	1	0.004583896292
775	1	0.004525031538
780	1	0.004440153359
785	1	0.004336284541
790	1	0.004258985206
795	1	0.004194740559
800	1	0.00410733251
805	1	0.00405686477
810	1	0.003987346949
815	1	0.003940302607
820	1	0.003872402872
825	1	0.003805451194
830	1	0.003761837506
835	1	0.003668232329
840	1	0.003627293609
845	1	0.003580537827
850	1	0.003517074608
855	1	0.003463185343
860	1	0.003420059374
865	1	0.003377381573
870	1	0.00332162568
875	1	0.003273470396
880	1	0.003207766569
885	1	0.003173306281
890	1	0.003139013793
895	1	0.003086532221
900	1	0.003035522466
905	1	0.003000776193
910	1	0.002962539355
915	1	0.002916075643
920	1	0.002877921184
925	1	0.002833118854
930	1	0.002794907525
935	1	0.002759326699
940	1	0.002700134537
945	1	0.002663706754
950	1	0.002599001536
955	1	0.002574863865
960	1	0.002534588855
965	1	0.002499100003
970	1	0.002468657784
975	1	0.002449795161
980	1	0.002412146675
985	1	0.002386844235
990	1	0.002357260908
995	1	0.002321002798
999	1	0.002306242026
