feature,p_absent,p_present,delta,scale,n,prevalence
Previous PCI,0.0175422765314579,0.03123384900391102,0.013691572472453117,empirical_prior_not_part4,3629,0.017635712317442823
Staged PCI,0.018370212987065315,0.01723460853099823,-0.0011356044560670853,empirical_prior_not_part4,3629,0.017635712317442823
UA,0.01768523082137108,0.020475059747695923,0.0027898289263248444,empirical_prior_not_part4,3629,0.017635712317442823
1.1:1Post dilation,0.025825751945376396,0.01654258742928505,-0.009283164516091347,empirical_prior_not_part4,3629,0.017635712317442823
ZES,0.018427403643727303,0.017009632661938667,-0.0014177709817886353,empirical_prior_not_part4,3629,0.017635712317442823
Cardiogenic shock,0.018365204334259033,0.015774056315422058,-0.002591148018836975,empirical_prior_not_part4,3629,0.017635712317442823
