threshold,precision,recall,f1
0.1,0.4444444444444444,0.6666666666666666,0.5333333333333333
0.15000000000000002,0.55,0.6111111111111112,0.5789473684210527
0.20000000000000004,0.6923076923076923,0.5,0.5806451612903226
0.25000000000000006,0.8,0.4444444444444444,0.5714285714285714
0.30000000000000004,0.8,0.4444444444444444,0.5714285714285714
0.3500000000000001,0.8,0.4444444444444444,0.5714285714285714
0.40000000000000013,0.8,0.4444444444444444,0.5714285714285714
0.4500000000000001,0.75,0.3333333333333333,0.46153846153846156
0.5000000000000001,0.75,0.3333333333333333,0.46153846153846156
0.5500000000000002,0.7142857142857143,0.2777777777777778,0.4
0.6000000000000002,0.8333333333333334,0.2777777777777778,0.4166666666666667
0.6500000000000001,0.8,0.2222222222222222,0.34782608695652173
0.7000000000000002,0.5,0.05555555555555555,0.1
0.7500000000000002,1.0,0.05555555555555555,0.10526315789473684
0.8000000000000003,1.0,0.05555555555555555,0.10526315789473684
0.8500000000000003,1.0,0.05555555555555555,0.10526315789473684
0.9000000000000002,0.0,0.0,0.0
