rank,feature,importance_score,n_methods,selection_freq,shap_mean_abs,mutual_info,in_mi_top,in_shap_top
70,P-LM,0.28164556962025317,0,0.0,0.0,0.0,False,False
71,TIMI-2,0.28164556962025317,0,0.0,0.0,0.0,False,False
72,TIMI-1,0.28164556962025317,0,0.0,0.0,0.0,False,False
73,Staged PCI,0.28164556962025317,0,0.0,0.0,0.0,False,False
74,Total stent length,0.28164556962025317,0,0.0,0.0,0.0,False,False
75,Stent release pressure,0.28164556962025317,0,0.0,0.0,0.0,False,False
76,Platelet,0.28164556962025317,0,0.0,0.0,0.0,False,False
77,CKD60,0.28164556962025317,0,0.0,0.0,0.0,False,False
78,Clopidogrel,0.28164556962025317,0,0.0,0.0,0.0,False,False
79,Ticagrelor,0.28164556962025317,0,0.0,0.0,0.0,False,False
80,DAPT,0.28164556962025317,0,0.0,0.0,0.0,False,False
