feature,p_absent,p_present,delta,scale,n,prevalence
1.1:1Post dilation,0.01925971545279026,0.01916586235165596,-9.385310113430023e-05,empirical_prior_not_part4,3629,0.017635712317442823
No postdilation,0.019159618765115738,0.01931234821677208,0.00015272945165634155,empirical_prior_not_part4,3629,0.017635712317442823
Initial diagnosis-AMI,0.017935406416654587,0.017815185710787773,-0.00012022070586681366,empirical_prior_not_part4,3629,0.017635712317442823
Previous PCI,0.01771119050681591,0.0190055463463068,0.0012943558394908905,empirical_prior_not_part4,3629,0.017635712317442823
Slow flow,0.01771543361246586,0.017708098515868187,-7.335096597671509e-06,empirical_prior_not_part4,3629,0.017635712317442823
Lesion location-Ostial,0.017714520916342735,0.017710711807012558,-3.809109330177307e-06,empirical_prior_not_part4,3629,0.017635712317442823
