feature,p_absent,p_present,delta,scale,n,prevalence
Staged PCI,0.01838498003780842,0.01685313880443573,-0.0015318412333726883,empirical_prior_not_part4,5185,0.017743490838958535
ZES,0.01837472803890705,0.017381837591528893,-0.0009928904473781586,empirical_prior_not_part4,5185,0.017743490838958535
PES,0.017046084627509117,0.018321922048926353,0.0012758374214172363,empirical_prior_not_part4,5185,0.017743490838958535
STEMI,0.018890930339694023,0.017195265740156174,-0.0016956645995378494,empirical_prior_not_part4,5185,0.017743490838958535
1.1:1Post dilation,0.023373013362288475,0.0191021878272295,-0.004270825535058975,empirical_prior_not_part4,5185,0.017743490838958535
Dissection,0.018285173922777176,0.016450006514787674,-0.001835167407989502,empirical_prior_not_part4,5185,0.017743490838958535
