feature,p_absent,p_present,delta,scale,n,prevalence
Previous PCI,0.0175422765314579,0.031233849003911,0.0136915724724531,empirical_prior_not_part4,3629,0.0176357123174428
Staged PCI,0.0183702129870653,0.0172346085309982,-0.001135604456067,empirical_prior_not_part4,3629,0.0176357123174428
UA,0.017685230821371,0.0204750597476959,0.0027898289263248,empirical_prior_not_part4,3629,0.0176357123174428
1.1:1Post dilation,0.0258257519453763,0.016542587429285,-0.0092831645160913,empirical_prior_not_part4,3629,0.0176357123174428
ZES,0.0184274036437273,0.0170096326619386,-0.0014177709817886,empirical_prior_not_part4,3629,0.0176357123174428
Cardiogenic shock,0.018365204334259,0.015774056315422,-0.0025911480188369,empirical_prior_not_part4,3629,0.0176357123174428
