contrast,delta_pr_auc,ci_low,ci_high,p_bootstrap_one_sided_le0,p_bootstrap_two_sided,n_boot,seed
TabPFN (thinking-high) − LightGBM,0.16271855386470835,0.09999980628688021,0.2300651162503835,0.0,0.0,2000,42
TabPFN (local) − LightGBM,-0.017208799131271935,-0.09508704271510048,0.058800574949126605,0.6465,0.707,2000,42
