fold,n,n_pos,tabpfn_thinking_high_pr_auc,lightgbm_pr_auc,tabpfn_local_pr_auc,thinking_high_gt_lgb,local_gt_lgb
1,1037,18,0.863988158718551,0.750501044584156,0.6383813173028858,True,False
2,1037,18,0.7836651823331104,0.7129629964508754,0.635311246031524,True,False
3,1037,18,0.740706687032619,0.5399041198223786,0.5828641981797247,True,True
4,1037,19,0.9496952289687801,0.7727144347337382,0.7273828155936951,True,False
5,1037,19,0.9061136637891021,0.6919022953760499,0.7855108495690211,True,True
