model,t_f1,accuracy,precision,recall,specificity,f1,f2,tn,fp,fn,tp
TabPFN,0.901,0.9918997107039537,0.7403846153846154,0.8369565217391305,0.9946986059297075,0.7857142857142858,0.8156779661016951,5066,27,15,77
XGBoost,0.381,0.9895853423336548,0.7638888888888888,0.5978260869565217,0.996662085215001,0.6707317073170731,0.625,5076,17,37,55
CatBoost,0.347,0.9882352941176471,0.6703296703296703,0.6630434782608695,0.9941095621441194,0.6666666666666666,0.6644880174291937,5063,30,31,61
LightGBM,0.228,0.9891996142719383,0.78125,0.5434782608695652,0.9972511290005891,0.641025641025641,0.5787037037037036,5079,14,42,50
Random Forest,0.084,0.9785920925747348,0.42748091603053434,0.6086956521739131,0.9852739053602985,0.5022421524663677,0.561122244488978,5018,75,36,56
Logistic Regression,0.97,0.9799421407907425,0.4318181818181818,0.41304347826086957,0.9901826035735323,0.4222222222222222,0.4166666666666667,5043,50,54,38
