model,threshold_mean,threshold_sd,accuracy,precision,recall,specificity,npv,f1,f2,tn,fp,fn,tp,pr_auc,roc_auc
TabPFN thinking mode,0.367174768447876,0.10595281158329171,0.997685631629701,0.9444444444444444,0.9239130434782609,0.9990182603573532,0.9986261040235525,0.9340659340659341,0.9279475982532751,5088,5,7,85,0.9770844457224008,0.99910789745516
TabPFN,0.393181711435318,0.10744320824257929,0.9972999035679846,0.9148936170212766,0.9347826086956522,0.9984292165717652,0.9988214496169712,0.9247311827956989,0.9307359307359307,5085,8,6,86,0.9635461304193228,0.998313968874585
LightGBM,0.121898549979563,0.08391983567219849,0.9880424300867888,0.6666666666666666,0.6521739130434783,0.9941095621441194,0.9937193326790972,0.6593406593406593,0.6550218340611353,5063,30,32,60,0.6935283403971918,0.9680891931807512
XGBoost,0.22457774877548217,0.05996941931485075,0.9874638379942141,0.6451612903225806,0.6521739130434783,0.9935205183585313,0.9937156323644933,0.6486486486486487,0.6507592190889371,5060,33,32,60,0.6814583732761209,0.9439319953217972
CatBoost,0.1665011171585742,0.03958259206561864,0.9814850530376085,0.48360655737704916,0.6413043478260869,0.9876300805026507,0.9934821252222003,0.5514018691588785,0.6020408163265306,5030,63,33,59,0.6172346493169544,0.9593751867439538
Random Forest,0.11800000000000002,0.013038404810405297,0.9839922854387657,0.5517241379310345,0.5217391304347826,0.9923424307873552,0.9913691643781876,0.5363128491620112,0.5274725274725275,5054,39,44,48,0.4865160328741004,0.9208621808279053
Logistic Regression,0.9471576384500434,0.035341465926597204,0.9768563162970106,0.36538461538461536,0.41304347826086957,0.9870410367170627,0.9893721708325133,0.3877551020408163,0.4025423728813559,5027,66,54,38,0.3326347268706227,0.9224254944979895
