threshold,precision,recall,npv,f1,f2,fp,fn
0.01,0.2746268656716418,1.0,1.0,0.4309133489461358,0.6543385490753911,243,0
0.014949494949494949,0.3181818181818182,0.9891304347826086,0.9997958767095325,0.48148148148148145,0.6957186544342507,195,1
0.0198989898989899,0.35135135135135137,0.9891304347826086,0.9997969955339018,0.5185185185185185,0.7256778309409888,168,1
0.02484848484848485,0.3905579399141631,0.9891304347826086,0.9997980613893377,0.56,0.757071547420965,142,1
0.029797979797979796,0.42924528301886794,0.9891304347826086,0.9997989141363363,0.5986842105263158,0.7844827586206896,121,1
0.03474747474747475,0.4595959595959596,0.9891304347826086,0.9997994786444756,0.6275862068965518,0.803886925795053,107,1
0.039696969696969696,0.4891304347826087,0.9782608695652174,0.9996000799840032,0.6521739130434783,0.8152173913043478,94,2
0.04464646464646465,0.5027932960893855,0.9782608695652174,0.9996004794246903,0.6642066420664207,0.8226691042047533,89,2
0.049595959595959596,0.5263157894736842,0.9782608695652174,0.9996011168727563,0.6844106463878327,0.8348794063079777,81,2
0.05454545454545454,0.5555555555555556,0.9782608695652174,0.9996018315747561,0.7086614173228346,0.8490566037735849,72,2
0.059494949494949496,0.569620253164557,0.9782608695652174,0.9996021483986473,0.72,0.8555133079847909,68,2
0.06444444444444444,0.6040268456375839,0.9782608695652174,0.9996028594122319,0.7468879668049793,0.8704061895551257,59,2
0.06939393939393938,0.6122448979591837,0.9782608695652174,0.999603017070266,0.7531380753138075,0.8737864077669902,57,2
0.07434343434343434,0.6293706293706294,0.9782608695652174,0.9996033320111067,0.7659574468085106,0.8806262230919765,53,2
0.07929292929292929,0.6521739130434783,0.9782608695652174,0.9996037249851397,0.782608695652174,0.8893280632411067,48,2
0.08424242424242423,0.6766917293233082,0.9782608695652174,0.9996041171813144,0.8,0.8982035928143712,43,2
0.08919191919191918,0.6923076923076923,0.9782608695652174,0.9996043521266074,0.8108108108108109,0.9036144578313253,40,2
0.09414141414141414,0.7142857142857143,0.9782608695652174,0.9996046649535482,0.8256880733944955,0.9109311740890689,36,2
0.09909090909090908,0.72,0.9782608695652174,0.999604743083004,0.8294930875576036,0.9127789046653144,35,2
0.10404040404040403,0.7258064516129032,0.9782608695652174,0.9996048211815847,0.8333333333333334,0.9146341463414634,34,2
0.10898989898989898,0.75,0.9782608695652174,0.9996051332675222,0.8490566037735849,0.9221311475409836,30,2
0.11393939393939392,0.7758620689655172,0.9782608695652174,0.9996054448609193,0.8653846153846154,0.9297520661157025,26,2
0.11888888888888888,0.782608695652174,0.9782608695652174,0.9996055226824457,0.8695652173913043,0.9316770186335404,25,2
0.12383838383838383,0.7964601769911505,0.9782608695652174,0.9996056782334385,0.8780487804878049,0.9355509355509356,23,2
0.12878787878787878,0.8035714285714286,0.9782608695652174,0.9996057559629411,0.8823529411764706,0.9375,22,2
0.13373737373737374,0.8035714285714286,0.9782608695652174,0.9996057559629411,0.8823529411764706,0.9375,22,2
0.1386868686868687,0.8108108108108109,0.9782608695652174,0.9996058336618053,0.8866995073891626,0.9394572025052192,21,2
0.14363636363636365,0.8108108108108109,0.9782608695652174,0.9996058336618053,0.8866995073891626,0.9394572025052192,21,2
0.1485858585858586,0.8108108108108109,0.9782608695652174,0.9996058336618053,0.8866995073891626,0.9394572025052192,21,2
0.15353535353535352,0.8240740740740741,0.967391304347826,0.9994090998621233,0.89,0.9348739495798319,19,3
0.15848484848484848,0.8240740740740741,0.967391304347826,0.9994090998621233,0.89,0.9348739495798319,19,3
0.16343434343434343,0.8317757009345794,0.967391304347826,0.999409216226861,0.8944723618090452,0.9368421052631579,18,3
0.16838383838383839,0.839622641509434,0.967391304347826,0.9994093325457767,0.898989898989899,0.9388185654008439,17,3
0.17333333333333334,0.8476190476190476,0.967391304347826,0.9994094488188976,0.9035532994923858,0.9408033826638478,16,3
0.1782828282828283,0.8557692307692307,0.967391304347826,0.9994095650462508,0.9081632653061225,0.9427966101694916,15,3
0.18323232323232325,0.8557692307692307,0.967391304347826,0.9994095650462508,0.9081632653061225,0.9427966101694916,15,3
0.18818181818181817,0.8557692307692307,0.967391304347826,0.9994095650462508,0.9081632653061225,0.9427966101694916,15,3
0.19313131313131313,0.8557692307692307,0.967391304347826,0.9994095650462508,0.9081632653061225,0.9427966101694916,15,3
0.19808080808080808,0.8640776699029126,0.967391304347826,0.999409681227863,0.9128205128205128,0.9447983014861996,14,3
0.20303030303030303,0.8640776699029126,0.967391304347826,0.999409681227863,0.9128205128205128,0.9447983014861996,14,3
0.207979797979798,0.8627450980392157,0.9565217391304348,0.9992130631516821,0.9072164948453608,0.9361702127659575,14,4
0.21292929292929294,0.8712871287128713,0.9565217391304348,0.999213217938631,0.9119170984455959,0.9381663113006397,13,4
0.21787878787878787,0.8712871287128713,0.9565217391304348,0.999213217938631,0.9119170984455959,0.9381663113006397,13,4
0.22282828282828282,0.8712871287128713,0.9565217391304348,0.999213217938631,0.9119170984455959,0.9381663113006397,13,4
0.22777777777777777,0.8712871287128713,0.9565217391304348,0.999213217938631,0.9119170984455959,0.9381663113006397,13,4
0.23272727272727273,0.8712871287128713,0.9565217391304348,0.999213217938631,0.9119170984455959,0.9381663113006397,13,4
0.23767676767676768,0.88,0.9565217391304348,0.9992133726647001,0.9166666666666666,0.9401709401709402,12,4
0.24262626262626263,0.8969072164948454,0.9456521739130435,0.9990172955974843,0.9206349206349206,0.9354838709677419,10,5
0.24757575757575756,0.8969072164948454,0.9456521739130435,0.9990172955974843,0.9206349206349206,0.9354838709677419,10,5
0.2525252525252525,0.90625,0.9456521739130435,0.9990174887011201,0.925531914893617,0.9375,9,5
0.25747474747474747,0.90625,0.9456521739130435,0.9990174887011201,0.925531914893617,0.9375,9,5
0.26242424242424245,0.9157894736842105,0.9456521739130435,0.9990176817288802,0.93048128342246,0.9395248380129589,8,5
0.2673737373737374,0.9157894736842105,0.9456521739130435,0.9990176817288802,0.93048128342246,0.9395248380129589,8,5
0.2723232323232323,0.925531914893617,0.9456521739130435,0.9990178746808093,0.9354838709677419,0.9415584415584416,7,5
0.2772727272727273,0.925531914893617,0.9456521739130435,0.9990178746808093,0.9354838709677419,0.9415584415584416,7,5
0.2822222222222222,0.925531914893617,0.9456521739130435,0.9990178746808093,0.9354838709677419,0.9415584415584416,7,5
0.2871717171717172,0.925531914893617,0.9456521739130435,0.9990178746808093,0.9354838709677419,0.9415584415584416,7,5
0.2921212121212121,0.925531914893617,0.9456521739130435,0.9990178746808093,0.9354838709677419,0.9415584415584416,7,5
0.29707070707070704,0.9247311827956989,0.9347826086956522,0.9988216810683425,0.9297297297297298,0.9327548806941431,7,6
0.302020202020202,0.9247311827956989,0.9347826086956522,0.9988216810683425,0.9297297297297298,0.9327548806941431,7,6
0.30696969696969695,0.9239130434782609,0.9239130434782609,0.9986255645002945,0.9239130434782609,0.9239130434782609,7,7
0.31191919191919193,0.9239130434782609,0.9239130434782609,0.9986255645002945,0.9239130434782609,0.9239130434782609,7,7
0.31686868686868686,0.9230769230769231,0.9130434782608695,0.9984295249312917,0.9180327868852459,0.9150326797385621,7,8
