model,pr_auc,roc_auc,brier,pr_auc_mean,pr_auc_sd,roc_auc_mean,roc_auc_sd,t_f1,acc_f1,prec_f1,rec_f1,spec_f1,npv_f1,f1_at_t_f1,f2_at_t_f1,tn_f1,fp_f1,fn_f1,tp_f1
TabPFN thinking mode,0.9770844457224008,0.99910789745516,0.0023423282372026476,0.977618080794484,0.026638061025388054,0.999149492966961,0.0012047492733657991,0.4851515151515151,0.9978784956605593,0.9764705882352941,0.9021739130434783,0.9996073041429413,0.9982352941176471,0.9378531073446328,0.9161147902869757,5091,2,9,83
TabPFN,0.9635461304193228,0.998313968874585,0.0025446187090843956,0.9638301363520771,0.02721022999388308,0.9984811485305206,0.0013907545074593245,0.46535353535353535,0.9974927675988429,0.9438202247191011,0.9130434782608695,0.9990182603573532,0.9984301412872841,0.9281767955801105,0.9190371991247265,5088,5,8,84
LightGBM,0.6935283403971918,0.9680891931807512,0.00933491443907548,0.694224256590126,0.09197675712597161,0.9695330399136047,0.016486595229093563,0.06444444444444444,0.9870781099324976,0.6262626262626263,0.6739130434782609,0.9927351266444139,0.9941014549744397,0.6492146596858639,0.6638115631691649,5056,37,30,62
XGBoost,0.6814583732761209,0.9439319953217972,0.00884886073428024,0.6928273149261039,0.12879308745321705,0.9430640394798487,0.04177408940771203,0.20303030303030303,0.9884281581485053,0.6739130434782609,0.6739130434782609,0.9941095621441194,0.9941095621441194,0.6739130434782609,0.6739130434782609,5063,30,30,62
CatBoost,0.6172346493169544,0.9593751867439538,0.010146826320530667,0.6353060485096552,0.05395464974433985,0.9612177145365255,0.01366070048798435,0.41585858585858587,0.9872709739633558,0.6805555555555556,0.532608695652174,0.9954839976438249,0.9915900645413651,0.5975609756097561,0.5568181818181818,5070,23,43,49
Random Forest,0.4865160328741004,0.9208621808279053,0.01425126325940212,0.5034075818969159,0.07931030128846708,0.9205550237758466,0.04228503083003398,0.10404040404040403,0.982642237222758,0.5098039215686274,0.5652173913043478,0.9901826035735323,0.9921306315168208,0.5360824742268041,0.5531914893617021,5043,50,40,52
Logistic Regression,0.3326347268706227,0.9224254944979895,0.056275215426523084,0.34512357031397445,0.12133818662001795,0.923471405624954,0.025133594964217316,0.9850505050505051,0.981870781099325,0.4857142857142857,0.3695652173913043,0.9929314745729433,0.9886608015640274,0.41975308641975306,0.3881278538812785,5057,36,58,34
