rank,model,algorithm,metric,step,feature,index,holdout_score,marginal_gain
1,rf,FFS,pr_auc,1,CaI,9,0.07046046763875463,
2,rf,FFS,pr_auc,2,LDL,16,0.16790981598793364,0.09744934834917901
3,rf,FFS,pr_auc,3,HbA1c,20,0.21455357292309632,0.04664375693516268
4,rf,FFS,pr_auc,4,LV,7,0.2983477659778836,0.08379419305478727
5,rf,FFS,pr_auc,5,Fast-Glu,19,0.3468634961479316,0.04851573017004801
6,rf,FFS,pr_auc,6,HDL,17,0.37371752002061626,0.02685402387268465
7,rf,FFS,pr_auc,7,Stent release pressure,5,0.4005010461086807,0.026783526088064447
8,rf,FFS,pr_auc,8,HGB,10,0.3686932849949587,-0.03180776111372202
