rank,model,algorithm,metric,step,feature,index,holdout_score,marginal_gain
1,rf_b,FFS,pr_auc,1,CaI,9,0.06685664812836294,
2,rf_b,FFS,pr_auc,2,eGFR,13,0.16645225027997626,0.09959560215161332
3,rf_b,FFS,pr_auc,3,Cre,12,0.4519153919406266,0.28546314166065034
4,rf_b,FFS,pr_auc,4,Men,22,0.555247545563358,0.1033321536227314
5,rf_b,FFS,pr_auc,5,LVEF,8,0.5626953241347694,0.007447778571411434
6,rf_b,FFS,pr_auc,6,Stent type-SES_resolute,82,0.548179070624474,-0.014516253510295396
