model,algorithm,metric,feature,rank,in_topk
rf_b,LOCO,pr_auc,"Age, years",,False
rf_b,LOCO,pr_auc,Male sex,,False
rf_b,LOCO,pr_auc,Current drinking,,False
rf_b,LOCO,pr_auc,Diabetes mellitus,,False
rf_b,LOCO,pr_auc,aspirin,,False
rf_b,LOCO,pr_auc,Hypertension,25.0,True
rf_b,LOCO,pr_auc,Dapt,,False
rf_b,LOCO,pr_auc,Dyslipidemia,,False
rf_b,LOCO,pr_auc,HbA1C,,False
rf_b,LOCO,pr_auc,Clopidogrel,7.0,True
rf_b,LOCO,pr_auc,Current smoker,46.0,True
rf_b,SHAP,pr_auc,"Age, years",,False
rf_b,SHAP,pr_auc,Male sex,,False
rf_b,SHAP,pr_auc,Current drinking,,False
rf_b,SHAP,pr_auc,Diabetes mellitus,,False
rf_b,SHAP,pr_auc,aspirin,,False
rf_b,SHAP,pr_auc,Hypertension,,False
rf_b,SHAP,pr_auc,Dapt,,False
rf_b,SHAP,pr_auc,Dyslipidemia,,False
rf_b,SHAP,pr_auc,HbA1C,,False
rf_b,SHAP,pr_auc,Clopidogrel,28.0,True
rf_b,SHAP,pr_auc,Current smoker,,False
rf_b,FFS,pr_auc,"Age, years",,False
rf_b,FFS,pr_auc,Male sex,,False
rf_b,FFS,pr_auc,Current drinking,,False
rf_b,FFS,pr_auc,Diabetes mellitus,,False
rf_b,FFS,pr_auc,aspirin,,False
rf_b,FFS,pr_auc,Hypertension,,False
rf_b,FFS,pr_auc,Dapt,,False
rf_b,FFS,pr_auc,Dyslipidemia,,False
rf_b,FFS,pr_auc,HbA1C,,False
rf_b,FFS,pr_auc,Clopidogrel,,False
rf_b,FFS,pr_auc,Current smoker,,False
xgb,LOCO,pr_auc,"Age, years",,False
xgb,LOCO,pr_auc,Male sex,,False
xgb,LOCO,pr_auc,Current drinking,27.0,True
xgb,LOCO,pr_auc,Diabetes mellitus,,False
xgb,LOCO,pr_auc,aspirin,,False
xgb,LOCO,pr_auc,Hypertension,,False
xgb,LOCO,pr_auc,Dapt,,False
xgb,LOCO,pr_auc,Dyslipidemia,,False
xgb,LOCO,pr_auc,HbA1C,,False
xgb,LOCO,pr_auc,Clopidogrel,5.0,True
xgb,LOCO,pr_auc,Current smoker,6.0,True
xgb,SHAP,pr_auc,"Age, years",,False
xgb,SHAP,pr_auc,Male sex,,False
xgb,SHAP,pr_auc,Current drinking,,False
xgb,SHAP,pr_auc,Diabetes mellitus,,False
xgb,SHAP,pr_auc,aspirin,,False
xgb,SHAP,pr_auc,Hypertension,,False
xgb,SHAP,pr_auc,Dapt,,False
