rank,model,algorithm,metric,step,feature,index,holdout_score,marginal_gain
1,cat,FFS,pr_auc,1,HbA1c,20,0.10699759877031594,
2,cat,FFS,pr_auc,2,LV,7,0.22905954954153387,0.12206195077121794
3,cat,FFS,pr_auc,3,Fast-Glu,19,0.26293477569769064,0.03387522615615676
4,cat,FFS,pr_auc,4,Max-stent diameter,3,0.31627657874826476,0.05334180305057412
5,cat,FFS,pr_auc,5,LDL,16,0.3295770020754415,0.013300423327176736
6,cat,FFS,pr_auc,6,No postdilation,72,0.35998257434153985,0.030405572266098357
7,cat,FFS,pr_auc,7,Clopidogrel,76,0.3748477187356348,0.014865144394094976
8,cat,FFS,pr_auc,8,Total stent length,4,0.3657233851373655,-0.009124333598269307
