Model,t_F1,Accuracy,Precision,Recall,Specificity,F1,F2,TN,FP,FN,TP
TabPFN (thinking-high),0.1931313131313131,0.9926711668273868,0.78125,0.8152173913043478,0.9958766935008836,0.7978723404255319,0.8081896551724138,5072,21,17,75
LightGBM,0.1089898989898989,0.9882352941176472,0.6867469879518072,0.6195652173913043,0.9948949538582368,0.6514285714285715,0.6319290465631929,5067,26,35,57
XGBoost,0.203030303030303,0.9884281581485052,0.6739130434782609,0.6739130434782609,0.9941095621441194,0.6739130434782609,0.6739130434782609,5063,30,30,62
TabPFN (local),0.1188888888888888,0.9822565091610416,0.5,0.8478260869565217,0.9846848615747104,0.6290322580645161,0.7442748091603053,5015,78,14,78
CatBoost,0.4158585858585858,0.9872709739633558,0.6805555555555556,0.532608695652174,0.9954839976438248,0.5975609756097561,0.5568181818181818,5070,23,43,49
Random Forest,0.104040404040404,0.982642237222758,0.5098039215686274,0.5652173913043478,0.9901826035735324,0.5360824742268041,0.5531914893617021,5043,50,40,52
Logistic Regression,0.9850505050505052,0.981870781099325,0.4857142857142857,0.3695652173913043,0.9929314745729432,0.419753086419753,0.3881278538812785,5057,36,58,34
