model,pr_auc,pr_auc_ci_low,pr_auc_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,brier,brier_ci_low,brier_ci_high,n_boot,seed
TabPFN (thinking-high),0.8553073565261072,0.7956982590568196,0.913092223800529,0.9905198097986154,0.9834185241465269,0.996427694875319,0.006423130442440356,0.0051745366527518825,0.007672723945803656,2000,42
LightGBM,0.6925888026613989,0.6048857870853368,0.7772069227438302,0.9680016902995586,0.9488555796959168,0.9830228937416232,0.009332755906540936,0.00763682694738799,0.01102387004580577,2000,42
XGBoost,0.6814583732761209,0.588065331623931,0.7703216592840441,0.9439319953217972,0.9100252157692997,0.9742081522806239,0.00884886073428024,0.007104577609865455,0.010639666953011393,2000,42
TabPFN (local),0.675380003530127,0.5874357955516408,0.7669151460169925,0.9844821109963376,0.9759899563766125,0.9916728203245717,0.06728290436501935,0.06268462601983056,0.0717806916594006,2000,42
CatBoost,0.6172346493169544,0.5249667263187088,0.7148448483585628,0.9593751867439538,0.9397929489751492,0.976498593551251,0.010146826320530667,0.008400506109224201,0.011898543179869514,2000,42
Random Forest,0.4865160328741004,0.38602100203622364,0.6034479972609792,0.9208621808279053,0.8824218449875789,0.9555442412433093,0.01425126325940212,0.013664984088717453,0.014783113789778205,2000,42
Logistic Regression,0.3326347268706227,0.2486261725398441,0.4344556647208313,0.9224254944979895,0.8966099569741931,0.9448718509633853,0.05627521542652308,0.051110887605746246,0.061124412183700925,2000,42
