model,threshold_mean,threshold_sd,accuracy,precision,recall,specificity,f1,f2,tn,fp,fn,tp,pr_auc,roc_auc
TabPFN,0.2714354366064072,0.06733654673532273,0.9915139826422372,0.7926829268292683,0.7065217391304348,0.996662085215001,0.7471264367816092,0.7222222222222222,5076,17,27,65,0.8553073565261072,0.9905198097986154
LightGBM,0.11697538472770255,0.08675480361245459,0.9880424300867888,0.6630434782608695,0.6630434782608695,0.99391321421559,0.6630434782608695,0.6630434782608695,5062,31,31,61,0.6925888026613989,0.9680016902995586
XGBoost,0.22457774877548217,0.05996941931485075,0.9874638379942141,0.6451612903225806,0.6521739130434783,0.9935205183585313,0.6486486486486487,0.6507592190889371,5060,33,32,60,0.6814583732761209,0.9439319953217972
TabPFN (local),0.9154700040817261,0.01160293436174666,0.9843780135004822,0.5478260869565217,0.6847826086956522,0.9897899077164736,0.6086956521739131,0.6521739130434783,5041,52,29,63,0.675380003530127,0.9844821109963376
CatBoost,0.1665011171585742,0.03958259206561864,0.9814850530376085,0.48360655737704916,0.6413043478260869,0.9876300805026507,0.5514018691588785,0.6020408163265306,5030,63,33,59,0.6172346493169544,0.9593751867439538
Random Forest,0.11800000000000002,0.013038404810405297,0.9839922854387657,0.5517241379310345,0.5217391304347826,0.9923424307873552,0.5363128491620112,0.5274725274725275,5054,39,44,48,0.4865160328741004,0.9208621808279053
Logistic Regression,0.9471576384500434,0.035341465926597204,0.9768563162970106,0.36538461538461536,0.41304347826086957,0.9870410367170627,0.3877551020408163,0.4025423728813559,5027,66,54,38,0.3326347268706227,0.9224254944979895
