threshold,precision,recall,f1,f2,fp,fn
0.01,0.14424635332252836,0.967391304347826,0.25105782792665726,0.4517766497461929,528,3
0.014949494949494949,0.17886178861788618,0.9565217391304348,0.3013698630136986,0.5116279069767442,404,4
0.0198989898989899,0.2194513715710723,0.9565217391304348,0.35699797160243407,0.5721716514954487,313,4
0.02484848484848485,0.25825825825825827,0.9347826086956522,0.4047058823529412,0.6134094151212554,247,6
0.029797979797979796,0.2857142857142857,0.9347826086956522,0.43765903307888043,0.6427503736920778,215,6
0.03474747474747475,0.3173431734317343,0.9347826086956522,0.4738292011019284,0.672926447574335,185,6
0.039696969696969696,0.35390946502057613,0.9347826086956522,0.5134328358208955,0.7037643207855974,157,6
0.04464646464646465,0.3788546255506608,0.9347826086956522,0.5391849529780565,0.7226890756302521,141,6
0.049595959595959596,0.39906103286384975,0.9239130434782609,0.5573770491803278,0.7314974182444062,128,7
0.05454545454545454,0.425,0.9239130434782609,0.5821917808219178,0.7482394366197183,115,7
0.059494949494949496,0.44502617801047123,0.9239130434782609,0.6007067137809188,0.7602862254025045,106,7
0.06444444444444444,0.4696132596685083,0.9239130434782609,0.6227106227106227,0.7741347905282332,96,7
0.06939393939393938,0.5,0.9239130434782609,0.648854961832061,0.7899628252788105,85,7
0.07434343434343434,0.5214723926380368,0.9239130434782609,0.6666666666666666,0.800376647834275,78,7
0.07929292929292929,0.535031847133758,0.9130434782608695,0.6746987951807228,0.8,73,8
0.08424242424242423,0.5526315789473685,0.9130434782608695,0.6885245901639344,0.8076923076923077,68,8
0.08919191919191918,0.5714285714285714,0.9130434782608695,0.702928870292887,0.8155339805825242,63,8
0.09414141414141414,0.5928571428571429,0.9021739130434783,0.7155172413793104,0.8169291338582677,57,9
0.09909090909090908,0.6148148148148148,0.9021739130434783,0.7312775330396476,0.8250497017892644,52,9
0.10404040404040403,0.6307692307692307,0.8913043478260869,0.7387387387387387,0.8232931726907631,48,10
0.10898989898989898,0.6220472440944882,0.8586956521739131,0.7214611872146118,0.797979797979798,48,13
0.11393939393939392,0.6220472440944882,0.8586956521739131,0.7214611872146118,0.797979797979798,48,13
0.11888888888888888,0.6422764227642277,0.8586956521739131,0.7348837209302326,0.8044806517311609,44,13
0.12383838383838383,0.65,0.8478260869565217,0.7358490566037735,0.7991803278688525,42,14
0.12878787878787878,0.652542372881356,0.8369565217391305,0.7333333333333333,0.7921810699588477,41,15
0.13373737373737374,0.6695652173913044,0.8369565217391305,0.7439613526570048,0.7971014492753623,38,15
0.1386868686868687,0.6875,0.8369565217391305,0.7549019607843137,0.8020833333333334,35,15
0.14363636363636365,0.6846846846846847,0.8260869565217391,0.7487684729064039,0.7933194154488518,35,16
0.1485858585858586,0.6909090909090909,0.8260869565217391,0.7524752475247525,0.7949790794979079,34,16
0.15353535353535352,0.6909090909090909,0.8260869565217391,0.7524752475247525,0.7949790794979079,34,16
0.15848484848484848,0.6972477064220184,0.8260869565217391,0.7562189054726368,0.7966457023060797,33,16
0.16343434343434343,0.7037037037037037,0.8260869565217391,0.76,0.7983193277310925,32,16
0.16838383838383839,0.7102803738317757,0.8260869565217391,0.7638190954773869,0.8,31,16
0.17333333333333334,0.7281553398058253,0.8152173913043478,0.7692307692307693,0.7961783439490446,28,17
0.1782828282828283,0.7352941176470589,0.8152173913043478,0.7731958762886598,0.7978723404255319,27,17
