model,brier,ece_quantile_8,n_bins,strategy
Logistic Regression,0.056275215426523084,0.07577162089296495,8,quantile
Random Forest,0.01425126325940212,0.008729026036644164,8,quantile
XGBoost,0.00884886073428024,0.003514992350809892,8,quantile
LightGBM,0.00933491443907548,0.007486078889677741,8,quantile
CatBoost,0.010146826320530667,0.0025727030559091926,8,quantile
TabPFN thinking mode,0.0023423282372026476,0.0007947619606009492,8,quantile
TabPFN,0.0025446187090843956,0.00015066668886498197,8,quantile
