model,strategy,threshold,tn,fp,fn,tp
TabPFN,f1,0.19313131313131313,5072,21,17,75
LightGBM,f1,0.06444444444444444,5056,37,30,62
XGBoost,f1,0.20303030303030303,5063,30,30,62
TabPFN (local),f1,0.886060606060606,5019,74,16,76
CatBoost,f1,0.41585858585858587,5070,23,43,49
Random Forest,f1,0.10404040404040403,5043,50,40,52
Logistic Regression,f1,0.9850505050505051,5057,36,58,34
