contrast,delta_pr_auc,ci_low,ci_high,p_bootstrap_one_sided_le0,p_bootstrap_two_sided,n_boot,seed
TabPFN (thinking-high) − LightGBM,0.16109335246028922,0.09837861745925712,0.2288704979932832,0.0,0.0,2000,42
TabPFN (local) − LightGBM,-0.020052284578588875,-0.0973568733882029,0.056571335986823436,0.67,0.66,2000,42
