iter	Passed	Remaining
411	3564	3693
412	3571	3684
413	3579	3675
414	3587	3665
415	3595	3655
416	3602	3646
417	3610	3636
418	3618	3627
419	3626	3617
420	3633	3607
421	3641	3598
422	3649	3589
423	3657	3580
424	3665	3570
425	3673	3561
426	3681	3552
427	3689	3542
428	3697	3533
429	3704	3523
430	3712	3514
431	3719	3504
432	3727	3495
433	3735	3485
434	3743	3476
435	3750	3466
436	3758	3457
437	3766	3448
438	3774	3439
439	3782	3429
440	3790	3420
441	3798	3411
442	3806	3402
443	3813	3392
444	3821	3383
445	3829	3374
446	3838	3365
447	3854	3363
448	3949	3430
449	3971	3432
450	3993	3435
451	4013	3435
452	4042	3444
453	4059	3442
454	4080	3443
455	4095	3440
456	4107	3433
457	4117	3424
458	4126	3416
459	4135	3407
460	4147	3400
461	4158	3393
462	4171	3387
463	4182	3380
464	4192	3371
465	4202	3363
466	4213	3356
467	4223	3348
468	4234	3340
469	4245	3332
470	4255	3324
471	4266	3317
472	4276	3309
473	4286	3300
474	4296	3292
475	4307	3284
476	4316	3275
477	4327	3267
478	4336	3259
479	4353	3256
480	4363	3247
481	4373	3239
482	4383	3230
483	4392	3221
484	4402	3213
485	4412	3205
486	4422	3196
487	4436	3191
488	4456	3189
489	4471	3184
490	4485	3179
491	4499	3173
492	4509	3164
493	4519	3156
494	4529	3148
495	4540	3139
496	4548	3130
497	4557	3120
498	4565	3110
499	4572	3100
500	4580	3090
501	4588	3080
502	4595	3069
503	4603	3059
504	4611	3049
505	4618	3039
506	4626	3029
507	4634	3019
508	4643	3010
509	4652	3001
510	4661	2991
511	4669	2982
512	4676	2971
513	4684	2961
514	4692	2952
515	4699	2941
516	4707	2931
517	4715	2922
518	4722	2911
519	4730	2902
520	4738	2892
521	4745	2882
522	4753	2872
523	4762	2862
524	4769	2852
525	4778	2843
526	4786	2833
527	4795	2824
528	4803	2814
529	4812	2805
530	4820	2796
531	4828	2786
532	4836	2776
533	4844	2767
534	4852	2757
535	4860	2747
536	4868	2738
537	4877	2728
538	4885	2719
539	4893	2709
540	4902	2700
541	4910	2691
542	4919	2681
543	4928	2672
544	4936	2662
545	4944	2653
546	4952	2643
547	4960	2634
548	4968	2624
549	4978	2616
550	4988	2607
551	4998	2599
552	5009	2590
553	5019	2582
554	5029	2573
555	5039	2564
556	5048	2556
557	5059	2547
558	5071	2540
559	5081	2531
560	5090	2522
561	5098	2513
562	5108	2504
563	5116	2494
564	5124	2485
565	5132	2475
566	5141	2466
567	5150	2457
568	5159	2448
569	5167	2438
570	5177	2430
571	5187	2421
572	5194	2411
573	5202	2401
574	5209	2391
575	5217	2382
576	5225	2372
577	5233	2363
578	5241	2353
579	5248	2343
580	5256	2334
581	5264	2324
582	5272	2315
583	5279	2305
584	5287	2295
585	5295	2286
586	5303	2276
587	5310	2267
588	5318	2257
589	5326	2248
590	5334	2238
591	5341	2228
592	5349	2219
593	5357	2209
594	5364	2200
595	5372	2190
596	5380	2181
597	5389	2172
598	5398	2162
599	5407	2153
600	5416	2144
601	5425	2135
602	5433	2126
603	5443	2117
604	5451	2108
605	5459	2099
606	5467	2089
607	5475	2080
608	5483	2070
609	5491	2061
610	5500	2052
611	5509	2043
612	5516	2033
613	5525	2024
614	5533	2015
615	5541	2006
616	5550	1996
617	5559	1988
618	5568	1979
619	5578	1970
620	5588	1961
621	5599	1953
622	5608	1944
623	5618	1935
624	5627	1926
625	5638	1918
626	5647	1909
627	5657	1900
628	5665	1891
629	5673	1882
630	5681	1872
631	5689	1863
632	5697	1854
633	5705	1844
634	5713	1835
635	5720	1825
636	5728	1816
637	5739	1808
638	5750	1799
639	5762	1791
640	5775	1783
641	5784	1774
642	5795	1766
643	5803	1757
644	5811	1747
645	5819	1738
646	5826	1729
647	5834	1719
648	5842	1710
649	5850	1701
650	5858	1691
651	5865	1682
652	5873	1673
653	5881	1663
654	5888	1654
655	5896	1645
656	5904	1635
657	5911	1626
658	5919	1616
659	5927	1607
660	5934	1598
661	5943	1589
662	5951	1579
663	5959	1570
664	5967	1561
665	5974	1552
666	5982	1542
667	5990	1533
668	5998	1524
669	6006	1515
670	6014	1505
671	6021	1496
672	6029	1487
673	6036	1477
674	6044	1468
675	6052	1459
676	6059	1450
677	6067	1440
678	6076	1431
679	6083	1422
680	6091	1413
681	6100	1404
682	6109	1395
683	6117	1386
684	6127	1377
685	6136	1368
686	6145	1359
687	6154	1350
688	6162	1341
689	6170	1332
690	6178	1323
691	6186	1314
692	6194	1305
693	6202	1295
694	6209	1286
695	6217	1277
696	6225	1268
697	6233	1259
698	6240	1249
699	6249	1240
700	6257	1231
701	6266	1222
702	6273	1213
703	6282	1204
704	6291	1195
705	6299	1186
706	6307	1177
707	6315	1168
708	6323	1159
709	6331	1150
710	6339	1141
711	6347	1132
712	6355	1123
713	6364	1114
714	6372	1105
715	6379	1096
716	6387	1086
717	6395	1077
718	6403	1068
719	6411	1059
720	6418	1050
721	6427	1041
722	6434	1032
723	6454	1025
724	6463	1016
725	6471	1007
726	6479	998
727	6487	989
728	6495	980
729	6503	971
730	6511	961
731	6519	952
732	6526	943
733	6534	934
734	6542	925
735	6551	916
736	6560	907
737	6570	899
738	6578	890
739	6586	881
740	6594	872
741	6601	863
742	6609	853
743	6617	844
744	6626	836
745	6634	827
746	6641	818
747	6650	809
748	6658	800
749	6666	791
750	6675	782
751	6683	773
752	6692	764
753	6701	755
754	6709	746
755	6716	737
756	6724	728
757	6732	719
758	6740	710
759	6748	701
760	6755	692
761	6763	683
762	6771	674
763	6779	665
764	6787	656
765	6794	647
766	6802	638
767	6810	629
768	6817	620
769	6825	611
770	6833	602
771	6841	593
772	6849	584
773	6857	575
774	6865	566
775	6872	557
776	6880	549
777	6888	540
778	6896	531
779	6903	522
780	6911	513
781	6919	504
782	6926	495
783	6934	486
784	6942	477
785	6950	468
786	6960	459
787	6970	451
788	6979	442
789	6988	433
790	6996	424
791	7005	415
792	7014	406
793	7023	398
794	7032	389
795	7040	380
796	7048	371
797	7057	362
798	7065	353
799	7073	344
800	7081	335
801	7089	327
802	7098	318
803	7106	309
804	7114	300
805	7123	291
806	7131	282
807	7139	273
808	7147	265
809	7155	256
810	7164	247
811	7173	238
812	7183	229
813	7192	220
814	7201	212
815	7209	203
816	7217	194
817	7225	185
818	7232	176
819	7240	167
820	7248	158
821	7256	150
822	7264	141
823	7272	132
824	7280	123
825	7288	114
826	7296	105
827	7304	97
828	7312	88
829	7319	79
830	7327	70
831	7335	61
832	7343	52
833	7351	44
834	7359	35
835	7367	26
836	7375	17
837	7383	8
838	7390	0
