fold,Logistic Regression,Random Forest,XGBoost,LightGBM,CatBoost,TabPFN thinking v3,TabPFN thinking v3.5,TabPFN v3,TabPFN v3.5
1,0.9548180358271878,0.12,0.25701668858528137,0.07084601154637567,0.24500788151104774,0.25438594818115234,0.346567302942276,0.23943281173706055,0.37253275513648987
2,0.9593191792404331,0.09,0.24162602424621582,0.05031286841455908,0.12369853658477578,0.3327278196811676,0.35333508253097534,0.17960627377033234,0.3633798360824585
3,0.9549090535197836,0.12,0.14891143143177032,0.03231971835193123,0.09003379556576044,0.32516369223594666,0.3310534358024597,0.18049068748950958,0.41092345118522644
4,0.9670561000897197,0.13,0.14284004271030426,0.11733704974689516,0.21824857857744537,0.23244895040988922,0.21213398873806,0.17616872489452362,0.3099989593029022
5,0.9862016563368342,0.1,0.39852815866470337,0.11082001753051576,0.17289630036208323,0.21246734261512756,0.3445470333099365,0.13892680406570435,0.473287969827652
