model,brier,ece_quantile_8,n_bins,strategy
Logistic Regression,0.07880806395864323,0.11563713372374687,8,quantile
Random Forest,0.014976335583413693,0.009000964320154292,8,quantile
XGBoost,0.009984624586824498,0.006596520913970502,8,quantile
LightGBM,0.010619074337429134,0.008955177984330025,8,quantile
CatBoost,0.010800512651436845,0.003106384806185255,8,quantile
TabPFN thinking v3,0.006622832526710755,0.0036289228072964885,8,quantile
TabPFN thinking v3.5,0.0047269380060378915,0.0027784867312159356,8,quantile
TabPFN v3,0.009944452547113325,0.005925678417070661,8,quantile
TabPFN v3.5,0.004848590333283836,0.0003370224055831314,8,quantile
