model,ap_as_is,ap_equalised,auc_as_is,auc_equalised,ap_drop
Logistic Regression,0.25958946904959157,0.25448169558031064,0.8651025704504903,0.8666712196621109,0.00510777346928093
Random Forest,0.3505787729479147,0.2552899689890705,0.8882983037246348,0.901593406124348,0.09528880395884415
XGBoost,0.6321542537739987,0.580873093126095,0.9373607423659072,0.9346524214821708,0.05128116064790367
LightGBM,0.6271025155486531,0.5706762858338178,0.9443887176772894,0.9513014452914913,0.05642622971483535
CatBoost,0.570652588044537,0.46465077035588137,0.9404340142907144,0.929231511281469,0.10600181768865563
TabPFN v3,0.7149995887119854,0.7306911675063175,0.9730619178924184,0.9731323470406952,-0.01569157879433203
TabPFN v3.5,0.8957292121622483,0.8439143665582302,0.991629602438129,0.9880739975584562,0.05181484560401817
