threshold,precision,recall,npv,f1,f2,fp,fn
0.01,0.15699658703071673,1.0,1.0,0.2713864306784661,0.48218029350104824,494,0
0.014949494949494949,0.2026726057906459,0.9891304347826086,0.9997888513513513,0.3364140480591497,0.5569155446756426,358,1
0.0198989898989899,0.2356020942408377,0.9782608695652174,0.9995835935873413,0.379746835443038,0.6,292,2
0.02484848484848485,0.26627218934911245,0.9782608695652174,0.9995873736331752,0.4186046511627907,0.6373937677053825,248,2
0.029797979797979796,0.2966666666666667,0.967391304347826,0.9993858751279426,0.45408163265306123,0.6661676646706587,211,3
0.03474747474747475,0.3320754716981132,0.9565217391304348,0.9991869918699187,0.49299719887955185,0.6951026856240127,177,4
0.039696969696969696,0.3682008368200837,0.9565217391304348,0.9991912656692277,0.5317220543806647,0.7248764415156508,151,4
0.04464646464646465,0.3936651583710407,0.9456521739130435,0.9989927477840451,0.5559105431309904,0.7385398981324278,134,5
0.049595959595959596,0.42857142857142855,0.9456521739130435,0.9989963869931754,0.5898305084745763,0.7618213660245184,116,5
0.05454545454545454,0.45077720207253885,0.9456521739130435,0.9989983974358975,0.6105263157894737,0.7754010695187166,106,5
0.059494949494949496,0.47282608695652173,0.9456521739130435,0.999000199960008,0.6304347826086957,0.7880434782608695,97,5
0.06444444444444444,0.5028901734104047,0.9456521739130435,0.9990023942537909,0.6566037735849056,0.8040665434380776,86,5
0.06939393939393938,0.5304878048780488,0.9456521739130435,0.9990041824337781,0.6796875,0.8176691729323309,77,5
0.07434343434343434,0.5471698113207547,0.9456521739130435,0.9990051730998806,0.6932270916334662,0.825426944971537,72,5
0.07929292929292929,0.564935064935065,0.9456521739130435,0.9990061617968595,0.7073170731707317,0.8333333333333334,67,5
0.08424242424242423,0.6013986013986014,0.9347826086956522,0.9988099960333201,0.7319148936170212,0.8414872798434442,57,6
0.08919191919191918,0.6115107913669064,0.9239130434782609,0.9986127625842252,0.7359307359307359,0.8382642998027613,54,7
0.09414141414141414,0.6296296296296297,0.9239130434782609,0.9986138613861386,0.748898678414097,0.8449304174950298,50,7
0.09909090909090908,0.6390977443609023,0.9239130434782609,0.9986144101346002,0.7555555555555555,0.8483033932135728,48,7
0.10404040404040403,0.6666666666666666,0.9130434782608695,0.9984186598141925,0.7706422018348624,0.8502024291497976,42,8
0.10898989898989898,0.6774193548387096,0.9130434782608695,0.9984192847263387,0.7777777777777778,0.8536585365853658,40,8
0.11393939393939392,0.6774193548387096,0.9130434782608695,0.9984192847263387,0.7777777777777778,0.8536585365853658,40,8
