model,strategy,threshold,tn,fp,fn,tp
TabPFN thinking v3.5,f1,0.302020202020202,5085,8,14,78
TabPFN v3.5,f1,0.25747474747474747,5075,18,11,81
TabPFN thinking v3,f1,0.22282828282828282,5080,13,25,67
TabPFN v3,f1,0.23767676767676768,5084,9,39,53
XGBoost,f1,0.16838383838383839,5067,26,40,52
LightGBM,f1,0.11888888888888888,5071,22,39,53
CatBoost,f1,0.3564646464646465,5072,21,45,47
Random Forest,f1,0.10404040404040403,5038,55,48,44
Logistic Regression,f1,0.9652525252525253,5017,76,57,35
