model,threshold_mean,threshold_sd,accuracy,precision,recall,specificity,npv,f1,f2,tn,fp,fn,tp,pr_auc,roc_auc
TabPFN thinking v3.5,0.3175273686647415,0.05946909167225504,0.9951783992285439,0.8850574712643678,0.8369565217391305,0.9980365207147065,0.9970576696743821,0.8603351955307262,0.8461538461538461,5083,10,15,77,0.9212223579717921,0.9962800604410145
TabPFN v3.5,0.3860245943069458,0.06064149107279577,0.9940212150433944,0.8674698795180723,0.782608695652174,0.9978401727861771,0.9960799686397491,0.8228571428571428,0.7982261640798226,5082,11,20,72,0.8957292121622483,0.991629602438129
TabPFN thinking v3,0.27143875062465667,0.05461535702424114,0.9928640308582449,0.8767123287671232,0.6956521739130435,0.9982328686432358,0.9945226917057903,0.7757575757575758,0.7256235827664399,5084,9,28,64,0.8318944016078306,0.9833787210066672
TabPFN v3,0.1829250603914261,0.03602624427848609,0.9886210221793635,0.7088607594936709,0.6086956521739131,0.9954839976438249,0.9929494712103408,0.6549707602339181,0.6263982102908278,5070,23,36,56,0.7149995887119854,0.9730619178924184
XGBoost,0.23778446912765502,0.1038460765676683,0.9866923818707811,0.6575342465753424,0.5217391304347826,0.9950913017867662,0.9913928012519562,0.5818181818181818,0.54421768707483,5068,25,44,48,0.6321542537739987,0.9373607423659072
LightGBM,0.07632713311805536,0.03713155515575846,0.9855351976856316,0.5934065934065934,0.5869565217391305,0.9927351266444139,0.9925402434236357,0.5901639344262295,0.5882352941176471,5056,37,38,54,0.6271025155486531,0.9443887176772894
CatBoost,0.1699770185202225,0.06422793960686926,0.982642237222758,0.5092592592592593,0.5978260869565217,0.9895935597879443,0.992712231632854,0.55,0.5777310924369747,5040,53,37,55,0.570652588044537,0.9404340142907144
Random Forest,0.11199999999999999,0.016431676725154984,0.9801350048216008,0.4421052631578947,0.45652173913043476,0.9895935597879443,0.9901768172888016,0.44919786096256686,0.4535637149028078,5040,53,50,42,0.3505787729479147,0.8882983037246348
Logistic Regression,0.9644608050027916,0.013134453191553536,0.973963355834137,0.30275229357798167,0.358695652173913,0.9850775574317691,0.9883766745468873,0.3283582089552239,0.34591194968553457,5017,76,59,33,0.25958946904959157,0.8651025704504903
