iter	PRAUC	Logloss
0	0.8834358952	0.6544077326
5	0.9413269914	0.5159189563
10	0.9578020598	0.4390841917
15	0.9705828818	0.3810475352
20	0.9788593533	0.3409122867
25	0.9858881442	0.3028500765
30	0.9882450445	0.2777786032
35	0.9879615	0.2619305525
40	0.9896207649	0.2487075226
45	0.9905581136	0.237445481
50	0.9901083683	0.2304664895
55	0.9917954537	0.2195377523
60	0.9920664892	0.2131269493
65	0.9920872539	0.2068639039
70	0.9922350658	0.2032533189
75	0.9925287125	0.1988245783
80	0.9925228908	0.1952954733
85	0.9924829172	0.192524073
90	0.9926356298	0.1908827441
95	0.9926401878	0.1897594876
100	0.9930993281	0.1866241231
105	0.9929098515	0.1848100086
110	0.993025027	0.1824117839
115	0.9930578927	0.1817608871
120	0.9929734304	0.1807455467
125	0.9929640676	0.1795235855
130	0.9929524052	0.1792147701
135	0.9929829013	0.1789510084
140	0.9929789988	0.1788033857
145	0.9929191279	0.1782063346
150	0.9930325337	0.177629324
155	0.9934038008	0.1754184136
160	0.9942268692	0.1689768459
165	0.9948369236	0.1644664605
170	0.9948787513	0.1623871614
175	0.9951311505	0.1598037942
180	0.9957000296	0.1559522889
185	0.9959803487	0.1529805435
190	0.9961762241	0.150396727
195	0.9964296374	0.1465240728
200	0.9966769666	0.143416028
205	0.9968485343	0.1399449776
210	0.9971294333	0.1358835413
215	0.9970540247	0.1349484228
220	0.9971277381	0.134026485
225	0.9972468046	0.1322529607
230	0.9973563578	0.1300958661
235	0.9976047491	0.126343335
240	0.9977194666	0.1231978529
245	0.9979385725	0.1199858536
250	0.9980331551	0.1169655871
255	0.9981521596	0.1138601111
260	0.9981818959	0.1120341116
265	0.9982839545	0.1105805089
270	0.9984275104	0.1084191305
275	0.9985392422	0.1064694281
280	0.9985754254	0.1039009116
285	0.9986804343	0.101363085
290	0.9986926409	0.1005227695
295	0.9988413313	0.09774248719
300	0.998929004	0.09529670004
305	0.9990092256	0.09317657849
310	0.9990044382	0.09173944403
315	0.9990229401	0.09053649734
320	0.9990808273	0.08786142022
325	0.9991521925	0.08576182595
330	0.9991533694	0.08364186166
335	0.9992057607	0.08069336952
340	0.9992913383	0.07847077631
345	0.9992871051	0.07719878126
350	0.9993646386	0.07377311405
355	0.9993751791	0.07276810848
360	0.9994347908	0.07141336025
365	0.9994829661	0.07007338028
370	0.999501053	0.06850210329
375	0.9995049765	0.06763696932
380	0.9995506536	0.06559295074
385	0.9995687637	0.06396115534
390	0.9995973063	0.062652337
395	0.999661494	0.0608843396
400	0.9996721786	0.05976269697
405	0.999718123	0.05732709857
410	0.9997462809	0.05517468455
415	0.9997449278	0.05422798066
420	0.9997410972	0.05373280584
425	0.9997548972	0.05189919752
430	0.9997921305	0.05035029759
435	0.9998095927	0.0491617522
440	0.9998165918	0.047850294
445	0.9998244157	0.04683831619
450	0.9998551416	0.04554295928
455	0.9998856695	0.04482615571
460	0.9998891961	0.04389717073
465	0.9998925735	0.04298289785
470	0.9998961534	0.04161822298
475	0.9998996817	0.04023777258
480	0.9999041023	0.03944787661
485	0.9999110537	0.03802031681
490	0.9999415943	0.03662942679
495	0.9999422678	0.03580072668
500	0.9999456495	0.03504520885
505	0.9999496389	0.03438692788
510	0.9999496389	0.03349198778
515	0.9999604725	0.03249824938
520	0.9999752682	0.03162779823
525	0.9999715224	0.03095069185
530	0.9999752682	0.03028301409
535	0.9999789576	0.02977984291
540	0.9999825924	0.02894050284
545	0.9999861741	0.02812065096
550	0.9999861741	0.02733323946
555	0.9999861741	0.02684007917
560	0.9999897043	0.02617298554
565	0.9999897043	0.02544132759
570	0.9999897043	0.02498130789
575	0.9999897043	0.02453060448
580	0.9999931844	0.02393325007
585	0.9999931844	0.02338628711
590	0.9999966159	0.02270389351
595	0.9999966159	0.02232803492
600	1	0.02170865356
605	1	0.02123109655
610	1	0.02082555354
615	1	0.02045540716
620	1	0.01993280958
625	1	0.01960027098
630	1	0.01922752967
635	1	0.01882672718
640	1	0.01864205091
645	1	0.0183944635
650	1	0.01803226854
655	1	0.01769037246
660	1	0.01736986489
665	1	0.01694551893
670	1	0.01651201208
675	1	0.01605550658
680	1	0.01570074818
685	1	0.01554965622
690	1	0.01515714028
695	1	0.01490888261
700	1	0.01459208114
705	1	0.01429869677
710	1	0.01397922175
715	1	0.01351984797
720	1	0.01331498423
725	1	0.01303696256
730	1	0.01279147112
735	1	0.01258349384
740	1	0.01234970393
745	1	0.0121170486
750	1	0.01194101367
755	1	0.01169750307
760	1	0.01144390014
765	1	0.01127263288
770	1	0.01099886588
775	1	0.01084650923
780	1	0.01067384995
785	1	0.01054419331
790	1	0.01040668168
795	1	0.0102259081
800	1	0.01008899277
805	1	0.009931162608
810	1	0.009767205525
815	1	0.00965873988
820	1	0.009508567194
825	1	0.009332793443
830	1	0.009202410375
835	1	0.009009059062
840	1	0.008831158442
845	1	0.008727100996
850	1	0.008549984847
855	1	0.008368518539
860	1	0.008251237433
865	1	0.008057654899
870	1	0.00796651968
875	1	0.007904237613
880	1	0.00776241607
885	1	0.007639181697
890	1	0.007523954444
895	1	0.007416270461
900	1	0.007273052224
905	1	0.00712545949
910	1	0.007040229329
915	1	0.00691237847
920	1	0.006765839809
925	1	0.006677975401
930	1	0.006607554221
935	1	0.006537410134
940	1	0.006435590019
945	1	0.006368122304
950	1	0.006247099988
955	1	0.006154381319
960	1	0.006026544034
965	1	0.005924720643
970	1	0.005811164367
975	1	0.005718618881
980	1	0.005621958203
985	1	0.005554537294
990	1	0.005487960299
995	1	0.00539938397
999	1	0.005350296074
