model,pr_auc,pr_auc_ci_low,pr_auc_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,brier,brier_ci_low,brier_ci_high,n_boot,seed
Logistic Regression,0.25958946904959157,0.18344966772665544,0.35880289940959437,0.8651025704504903,0.8220070813307268,0.904418788789387,0.07880806395864323,0.07298067841489643,0.08441773261986303,2000,42
Random Forest,0.3505787729479147,0.26601368597964004,0.4632990236137239,0.8882983037246348,0.8412687864417487,0.9296309299208633,0.014976335583413696,0.014446498071359691,0.015496608968177434,2000,42
XGBoost,0.6321542537739987,0.5330860593833012,0.7246870523400538,0.9373607423659072,0.8967010880236301,0.9698750522883072,0.009984624586824496,0.0083739346156141,0.011644927309586458,2000,42
LightGBM,0.6271025155486531,0.5313021287746588,0.7202271813631405,0.9443887176772894,0.9135186082346614,0.9697641263797709,0.010619074337429136,0.0090156727582051,0.012261434114886898,2000,42
CatBoost,0.570652588044537,0.4750345052776261,0.6728695982468778,0.9404340142907144,0.9141924871306737,0.9631657155174622,0.010800512651436845,0.009064163380566616,0.01249165481530049,2000,42
TabPFN thinking v3,0.8318944016078306,0.762608759027207,0.8945365942776732,0.9833787210066672,0.9709053987143479,0.9938556970778307,0.006622832526710755,0.005293758276209604,0.00800214357261302,2000,42
TabPFN thinking v3.5,0.9212223579717921,0.8784836032360086,0.961340283419358,0.9962800604410145,0.9932150586055882,0.9986191618504511,0.004726938006037891,0.0037455346727230773,0.005770507606040881,2000,42
TabPFN v3,0.7149995887119854,0.6260249399515854,0.8073777037773193,0.9730619178924184,0.9550933079503837,0.9883090815185378,0.009944452547113325,0.008869580705272257,0.011064155559114143,2000,42
TabPFN v3.5,0.8957292121622483,0.8445501447443848,0.9425943709594659,0.991629602438129,0.9828472477142541,0.9978210715474777,0.004848590333283837,0.0037762928345747644,0.005980051165490886,2000,42
