rank,model,pr_auc,pr_auc_mean,pr_auc_sd,roc_auc,roc_auc_mean,roc_auc_sd,brier
1,TabPFN thinking v3.5,0.921222357971792,0.922670503860805,0.0422656637049845,0.9962800604410144,0.9964898525348314,0.002666027996174,0.0047269380060378
2,TabPFN v3.5,0.8957292121622483,0.899498106356097,0.0528092269487983,0.991629602438129,0.9922493194792572,0.0065519902307652,0.0048485903332838
3,TabPFN thinking v3,0.8318944016078306,0.8334603827770037,0.0657596321541593,0.9833787210066672,0.984300469414966,0.0104800625113266,0.0066228325267107
4,TabPFN v3,0.7149995887119854,0.7286185696482124,0.0318644025021775,0.9730619178924184,0.9741066847849476,0.0124613901925613,0.0099444525471133
5,XGBoost,0.6321542537739987,0.644803385985844,0.0879753248504036,0.9373607423659072,0.93662810804325,0.0371291770519556,0.0099846245868244
6,LightGBM,0.6271025155486531,0.6247702289489537,0.0989727766833726,0.9443887176772894,0.9458042659883518,0.0331843748436331,0.0106190743374291
7,CatBoost,0.570652588044537,0.5867061346133704,0.0494489135591202,0.9404340142907144,0.9417502589078852,0.0168175955029145,0.0108005126514368
8,Random Forest,0.3505787729479147,0.3842914848829756,0.0792105309352974,0.8882983037246348,0.8880334902492188,0.0228009118587795,0.0149763355834136
9,Logistic Regression,0.2595894690495915,0.2836363113578471,0.1105569518742262,0.8651025704504903,0.8671087118617745,0.0479153495965267,0.0788080639586432
