fold,CatBoost,LightGBM,Logistic Regression,Random Forest,TabPFN thinking v3,TabPFN thinking v3.5,TabPFN v3,TabPFN v3.5,XGBoost
1,0.5665900790512614,0.7248548698178627,0.1768876883309387,0.4060623289669424,0.8320273426251688,0.8802096944909705,0.7173169467471125,0.9364578794480756,0.6705502222222305
2,0.6603197454377868,0.640665928679715,0.2548864638926831,0.4443116093847284,0.7626322414548135,0.907810752631137,0.7722184269003267,0.8995558251560727,0.703767432687566
3,0.5910371133350032,0.575884180530772,0.2013484008508257,0.3623208550267057,0.7742873470655128,0.9433693711402692,0.6849174004425898,0.823728530472755,0.6118309436530347
4,0.5914544118706826,0.7013869738077074,0.3369292226606313,0.2575595648427482,0.8908194773092817,0.9858299595141696,0.7396996608119881,0.9594779598038516,0.7293727406445398
5,0.5241293233721178,0.4810591919087117,0.4481297810541569,0.4512030661937529,0.907535505430242,0.896132741527478,0.7289404133390446,0.8782703368997292,0.5084955907218485
