model,t_f1,acc_f1,prec_f1,rec_f1,spec_f1,npv_f1,f1_at_t_f1,f2_at_t_f1,tn_f1,fp_f1,fn_f1,tp_f1
TabPFN thinking v3.5,0.302020202020202,0.9957569913211186,0.9069767441860463,0.8478260869565217,0.9984292165717652,0.997254363600706,0.8764044943820225,0.8590308370044053,5085,8,14,78
TabPFN v3.5,0.2574747474747474,0.9944069431051108,0.8181818181818182,0.8804347826086957,0.9964657372864716,0.9978372001572944,0.8481675392670157,0.867237687366167,5075,18,11,81
TabPFN thinking v3,0.2228282828282828,0.9926711668273868,0.8375,0.7282608695652174,0.9974474769291184,0.9951028403525954,0.7790697674418605,0.7477678571428571,5080,13,25,67
TabPFN v3,0.2376767676767676,0.9907425265188042,0.8548387096774194,0.5760869565217391,0.9982328686432358,0.9923872730821784,0.6883116883116883,0.6162790697674418,5084,9,39,53
XGBoost,0.1683838383838383,0.9872709739633558,0.6666666666666666,0.5652173913043478,0.9948949538582368,0.9921676130800862,0.611764705882353,0.5829596412556054,5067,26,40,52
LightGBM,0.1188888888888888,0.9882352941176472,0.7066666666666667,0.5760869565217391,0.9956803455723542,0.9923679060665362,0.6347305389221557,0.5981941309255079,5071,22,39,53
CatBoost,0.3564646464646465,0.9872709739633558,0.6911764705882353,0.5108695652173914,0.9958766935008836,0.9912057846394372,0.5875,0.5389908256880734,5072,21,45,47
Random Forest,0.104040404040404,0.9801350048216008,0.4444444444444444,0.4782608695652174,0.9892008639308856,0.9905623279591034,0.4607329842931937,0.4710920770877944,5038,55,48,44
Logistic Regression,0.9652525252525253,0.9743490838958534,0.3153153153153153,0.3804347826086957,0.9850775574317692,0.9887662593614506,0.3448275862068966,0.3653444676409186,5017,76,57,35
