model,threshold_mean,threshold_sd,accuracy,precision,recall,specificity,npv,f1,f2,tn,fp,fn,tp,pr_auc,roc_auc
TabPFN thinking v3.5,0.3175273686647415,0.059469091672255,0.995178399228544,0.8850574712643678,0.8369565217391305,0.9980365207147064,0.997057669674382,0.8603351955307262,0.8461538461538461,5083,10,15,77,0.921222357971792,0.9962800604410144
TabPFN v3.5,0.3860245943069458,0.0606414910727957,0.9940212150433944,0.8674698795180723,0.782608695652174,0.9978401727861772,0.9960799686397492,0.8228571428571428,0.7982261640798226,5082,11,20,72,0.8957292121622483,0.991629602438129
TabPFN thinking v3,0.2714387506246566,0.0546153570242411,0.9928640308582448,0.8767123287671232,0.6956521739130435,0.9982328686432358,0.9945226917057904,0.7757575757575758,0.7256235827664399,5084,9,28,64,0.8318944016078306,0.9833787210066672
TabPFN v3,0.1829250603914261,0.036026244278486,0.9886210221793637,0.7088607594936709,0.6086956521739131,0.9954839976438248,0.9929494712103408,0.6549707602339181,0.6263982102908278,5070,23,36,56,0.7149995887119854,0.9730619178924184
XGBoost,0.237784469127655,0.1038460765676683,0.9866923818707812,0.6575342465753424,0.5217391304347826,0.9950913017867662,0.9913928012519562,0.5818181818181818,0.54421768707483,5068,25,44,48,0.6321542537739987,0.9373607423659072
LightGBM,0.0763271331180553,0.0371315551557584,0.9855351976856316,0.5934065934065934,0.5869565217391305,0.992735126644414,0.9925402434236356,0.5901639344262295,0.5882352941176471,5056,37,38,54,0.6271025155486531,0.9443887176772894
CatBoost,0.1699770185202225,0.0642279396068692,0.982642237222758,0.5092592592592593,0.5978260869565217,0.9895935597879444,0.992712231632854,0.55,0.5777310924369747,5040,53,37,55,0.570652588044537,0.9404340142907144
Random Forest,0.1119999999999999,0.0164316767251549,0.9801350048216008,0.4421052631578947,0.4565217391304347,0.9895935597879444,0.9901768172888016,0.4491978609625668,0.4535637149028078,5040,53,50,42,0.3505787729479147,0.8882983037246348
Logistic Regression,0.9644608050027916,0.0131344531915535,0.973963355834137,0.3027522935779816,0.358695652173913,0.9850775574317692,0.9883766745468872,0.3283582089552239,0.3459119496855345,5017,76,59,33,0.2595894690495915,0.8651025704504903
