rank,feature,importance_score,n_methods,selection_freq,shap_mean_abs,mutual_info,in_mi_top,in_shap_top
1,WBC,0.9916666666666667,3,1.0,1.0201812538511557,0.0201654874002764,True,True
2,LV,0.9770833333333333,3,0.8,0.8695080954679987,0.0127682462310503,True,True
3,eGFR,0.9708333333333333,3,0.7,1.0438694748121828,0.0098296714254642,True,True
4,LDL,0.90625,2,0.2,0.4973108990568902,0.0098928237943083,True,True
5,HbA1c,0.8895833333333334,2,0.3,0.178268413060906,0.0048049876155489,True,True
6,1.1:1Post dilation,0.8729166666666667,1,0.3,0.6905873588056997,0.0026368698904255,False,True
7,Previous PCI,0.8604166666666666,2,0.5,0.1356140666105559,0.0023583778095557,False,True
8,Fiberinogen,0.8541666666666666,2,0.4,0.0501813789837191,0.0030069112108705,True,True
9,HGB,0.8041666666666667,2,0.1,0.0663622907530592,0.0053271088415911,True,True
10,No postdilation,0.7833333333333333,1,0.1,0.2957599362090927,0.0024058105460271,False,True
11,Lesion location-Ostial,0.7291666666666666,1,0.1,0.0222115806120624,0.00512761538904,True,False
12,History of HF,0.7291666666666666,0,0.1,0.0482863572240342,0.0022892638255449,False,False
13,Cardiogenic shock,0.7270833333333333,0,0.2,0.0315790859026277,0.0014312078545701,False,False
14,Cre,0.7083333333333334,2,0.8,0.2449176454470044,0.0,False,True
15,CaI,0.7041666666666666,2,0.0,0.0793022711882632,0.0220052696749294,True,True
16,TCL,0.6875,0,0.1,0.0479985297205823,0.0010165039366085,False,False
17,P-LM,0.6833333333333332,0,0.1,0.0421446188649192,0.0016639020030932,False,False
18,Stent type-SES,0.6666666666666666,2,0.0,0.1124674313327924,0.0045869772101616,True,True
19,Slow flow,0.6604166666666668,0,0.2,0.0157053817283006,0.0019489503040013,False,False
20,HDL,0.6583333333333333,1,0.1,0.0134088546899381,0.0053525345118492,True,False
21,Dissection,0.6354166666666666,0,0.2,0.0169672236983771,0.0006042837371831,False,False
22,No.of stents per lesion,0.625,1,0.0,0.0422988468300485,0.0043709257923569,True,False
23,Men,0.6208333333333332,1,0.2,0.0552668669632077,0.0,False,True
24,ZES,0.6145833333333334,0,0.3,0.0074437940148629,0.002761872369152,False,False
25,Age,0.5895833333333333,0,0.3,0.010694989402933,0.0004313417810675,False,False
26,CKD5,0.5895833333333332,1,0.1,0.187176994913676,0.0,False,True
27,PES,0.5708333333333333,0,0.1,0.0090530359745246,0.0029015936554683,False,False
28,TIMI-2,0.5625,0,0.1,0.0182385269411431,0.0004025628518198,False,False
29,Total stent length,0.5583333333333333,0,0.0,0.0307510210824873,0.001993275838179,False,False
30,Vessel dialation,0.5583333333333332,0,0.0,0.025199935619585,0.0023844227166724,False,False
31,Previous CABG,0.5437500000000001,0,0.1,0.0424393735420999,0.0,False,False
32,UA,0.5437500000000001,0,0.4,0.015833091474446,0.0,False,False
33,Clopidogrel,0.5416666666666666,1,0.0,0.0157433324127611,0.0046694635362063,True,False
34,Thrombus aspiration,0.5416666666666666,0,0.1,0.0096251497811908,0.0018097209407077,False,False
35,History of peripheral vascualr disease,0.53125,0,0.1,0.0354210772905176,0.0,False,False
36,Ulceration,0.525,0,0.1,0.0141598795389818,0.0002076277023592,False,False
37,Initial diagnosis-AMI,0.5145833333333333,0,0.1,0.027051379825409,0.0,False,False
38,P-RCA,0.5020833333333333,0,0.1,0.0226110917370215,0.0,False,False
39,LVEF,0.48125,0,0.4,0.0102760412021214,0.0,False,False
40,Staged PCI,0.4625000000000001,1,0.5,0.0082202900925132,0.0,False,False
41,Moderate/severe tortuosity,0.4458333333333333,0,0.0,0.0134655543584203,0.0017878096370891,False,False
42,Pre-TIMI flow-3,0.4395833333333334,0,0.1,0.0147270544529785,0.0,False,False
43,NSTEMI,0.425,1,0.0,0.0078705562767301,0.0036062287527556,True,False
44,3-vessel disease,0.42083333333333334,0,0.1,0.0061941447304878,0.0005657728996655,False,False
45,CKD90,0.41875,0,0.0,0.0425958015446309,0.0,False,False
46,Multi-vessel CAD,0.41250000000000003,1,0.0,0.0071359616225955,0.0037334637404586,True,False
47,Moderate/severe calcification,0.4020833333333333,0,0.1,0.0106895334356304,0.0,False,False
48,Visual thrombus,0.3979166666666667,0,0.1,0.0106733907806048,0.0,False,False
49,TIMI-0,0.39166666666666666,0,0.0,0.0146264141449211,0.0001440832555898,False,False
50,stent overlap,0.38958333333333334,0,0.0,0.0295683386428327,0.0,False,False
51,Hypertension,0.3875,0,0.0,0.0091443321180593,0.0011231107714437,False,False
52,DAPT,0.38125000000000003,0,0.0,0.0262823726759638,0.0,False,False
53,Min-stent diameter,0.375,0,0.2,0.0066731084026084,0.0,False,False
54,Stroke/TIA,0.37083333333333335,0,0.0,0.0109185849008591,0.0001825102755366,False,False
