rank,feature,shap_mean_abs
1,Cre,0.1584529411411902
2,eGFR,0.0771297267945773
3,WBC,0.0609390566969941
4,LV,0.0524679751170209
5,No.of stents per lesion,0.0476535824099157
6,Men,0.0454712318097292
7,Aspirin,0.0387774162764576
8,CKD5,0.0312965615635982
9,DAPT,0.0272621678666601
10,LDL,0.0252947635438068
11,1.1:1Post dilation,0.0171921182410742
12,No postdilation,0.01390412318741
13,CaI,0.0135497945838429
14,TCL,0.0111142942366521
15,HbA1c,0.0090979315182631
