variant,w_cat,w_xgb,w_rf,w_tabpfn,pr_auc_cal,max_f2_cal,pr_auc_test,roc_auc_test,precision,recall,f1_score,accuracy,threshold_f1max_cal
equal_1/3,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.699673579109063,0.6730769230769231,0.6794729363101416,0.9547486642678007,0.6470588235294118,0.6111111111111112,0.6285714285714286,0.9874638379942141,0.28
grid_max_pr_auc_cal,0.0,1.0,0.0,,0.7773196055281617,0.6862745098039216,0.6599996683731122,0.9713226474757387,0.6153846153846154,0.4444444444444444,0.5161290322580645,0.9855351976856316,0.11000000000000001
grid_max_pr_auc_cal_min_w10pct,0.1,0.8,0.09999999999999998,,0.739584201806424,0.6862745098039216,0.6479020108543431,0.9560026169447171,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.9864995178399228,0.16000000000000003
grid_pr_minus_0.08x_maxw,0.0,1.0,0.0,,0.7773196055281617,0.6862745098039216,0.6599996683731122,0.9713226474757387,0.6153846153846154,0.4444444444444444,0.5161290322580645,0.9855351976856316,0.11000000000000001
grid_mean_5fold_oof_pr_cal,0.0,1.0,0.0,,0.7773196055281617,0.6862745098039216,0.6599996683731122,0.9713226474757387,0.6153846153846154,0.4444444444444444,0.5161290322580645,0.9855351976856316,0.11000000000000001
grid_max_f2_cal,0.15000000000000002,0.8500000000000001,0.0,,0.7302205617782657,0.6896551724137931,0.6330487530693478,0.9629266165085595,0.6153846153846154,0.4444444444444444,0.5161290322580645,0.9855351976856316,0.14
nocat_max_pr_auc_cal,0.0,1.0,0.0,,0.7773196055281617,0.6862745098039216,0.6599996683731122,0.9713226474757387,0.6153846153846154,0.4444444444444444,0.5161290322580645,0.9855351976856316,0.11000000000000001
nocat_max_f2_cal,0.0,0.6000000000000001,0.3999999999999999,,0.7209544593170005,0.6862745098039216,0.7039167404319604,0.9502780503761857,1.0,0.4444444444444444,0.6153846153846154,0.9903567984570878,0.4100000000000001
stacking_lr_on_probs_cal,,,,,0.7259087235168339,0.6862745098039216,0.6587673317808821,0.9564932940791626,1.0,0.3888888888888889,0.56,0.9893924783027965,0.9400000000000002
