threshold,precision,recall,f1,f2
0.05,0.875,0.6363636363636364,0.7368421052631579,0.6730769230769231
0.060000000000000005,0.875,0.6363636363636364,0.7368421052631579,0.6730769230769231
0.07,0.875,0.6363636363636364,0.7368421052631579,0.6730769230769231
0.08000000000000002,0.875,0.6363636363636364,0.7368421052631579,0.6730769230769231
0.09000000000000001,0.875,0.6363636363636364,0.7368421052631579,0.6730769230769231
0.1,0.875,0.6363636363636364,0.7368421052631579,0.6730769230769231
0.11000000000000001,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.12000000000000002,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.13,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.14,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.15000000000000002,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.16000000000000003,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.17000000000000004,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.18000000000000002,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.19000000000000003,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.20000000000000004,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.21000000000000002,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.22000000000000003,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.23000000000000004,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.24000000000000005,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.25000000000000006,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.26000000000000006,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.27,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.28,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.29000000000000004,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.30000000000000004,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.31000000000000005,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.32000000000000006,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.33000000000000007,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.3400000000000001,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.3500000000000001,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.36000000000000004,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.37000000000000005,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.38000000000000006,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.39000000000000007,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.4000000000000001,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.4100000000000001,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.4200000000000001,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.43000000000000005,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.44000000000000006,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.45000000000000007,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.4600000000000001,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.4700000000000001,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.4800000000000001,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.4900000000000001,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.5000000000000001,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.5100000000000001,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.5200000000000001,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.5300000000000001,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.5400000000000001,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.55,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.56,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.5700000000000001,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.5800000000000001,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.5900000000000001,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.6000000000000001,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.6100000000000001,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.6200000000000001,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.6300000000000001,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.6400000000000001,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.6500000000000001,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.6600000000000001,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.6700000000000002,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.6800000000000002,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.6900000000000002,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.7000000000000002,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.7100000000000002,1.0,0.5454545454545454,0.7058823529411765,0.6
0.7200000000000001,1.0,0.5454545454545454,0.7058823529411765,0.6
0.7300000000000001,1.0,0.5454545454545454,0.7058823529411765,0.6
0.7400000000000001,1.0,0.5454545454545454,0.7058823529411765,0.6
0.7500000000000001,1.0,0.5454545454545454,0.7058823529411765,0.6
0.7600000000000001,1.0,0.5454545454545454,0.7058823529411765,0.6
0.7700000000000001,1.0,0.5454545454545454,0.7058823529411765,0.6
0.7800000000000001,1.0,0.5454545454545454,0.7058823529411765,0.6
0.7900000000000001,1.0,0.5454545454545454,0.7058823529411765,0.6
0.8000000000000002,1.0,0.5454545454545454,0.7058823529411765,0.6
0.8100000000000002,1.0,0.5454545454545454,0.7058823529411765,0.6
0.8200000000000002,1.0,0.5454545454545454,0.7058823529411765,0.6
0.8300000000000002,1.0,0.5454545454545454,0.7058823529411765,0.6
0.8400000000000002,1.0,0.5454545454545454,0.7058823529411765,0.6
0.8500000000000002,1.0,0.5454545454545454,0.7058823529411765,0.6
0.8600000000000002,1.0,0.5454545454545454,0.7058823529411765,0.6
0.8700000000000001,1.0,0.5454545454545454,0.7058823529411765,0.6
0.8800000000000001,1.0,0.5454545454545454,0.7058823529411765,0.6
0.8900000000000001,1.0,0.5454545454545454,0.7058823529411765,0.6
0.9000000000000001,1.0,0.5454545454545454,0.7058823529411765,0.6
0.9100000000000001,1.0,0.5454545454545454,0.7058823529411765,0.6
0.9200000000000002,1.0,0.5454545454545454,0.7058823529411765,0.6
0.9300000000000002,1.0,0.5454545454545454,0.7058823529411765,0.6
0.9400000000000002,1.0,0.5454545454545454,0.7058823529411765,0.6
0.9500000000000002,1.0,0.5454545454545454,0.7058823529411765,0.6
