fold,Logistic Regression,Random Forest,XGBoost,LightGBM,CatBoost,TabPFN,TabPFN (local)
1,0.8971842307556473,0.11,0.1610545814037323,0.0700248452659093,0.123424652729082,0.3530602753162384,0.920225977897644
2,0.9367363034062082,0.1,0.23382191359996796,0.2682740003057524,0.16344900649215738,0.1717110127210617,0.8979489803314209
3,0.9419000943328565,0.12,0.3180365264415741,0.06624594351535217,0.1552785000079995,0.2670082151889801,0.9281322956085205
4,0.9698010022999586,0.13,0.22451485693454742,0.06781652189382013,0.15890204960651513,0.3077581524848938,0.9105935096740723
5,0.9901665614555468,0.13,0.1854608654975891,0.11251561265767877,0.23145137695711704,0.2576395273208618,0.9204492568969727
