Code,Classic model,Family,Union size
cat,CatBoost,Boosting,33
lgb,LightGBM,Boosting,32
lr,Logistic regression,Linear,33
rf,Random forest,Bagged trees,31
rf_b,Random forest (subsample),Bagged trees,34
xgb,XGBoost,Boosting,33
xgb_b,XGBoost (subsample),Boosting,32
